Monthly rainfall(in mm) trends for Assam from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jan-2020",19.1,20.85
"Feb-2020",28.64,19.44
"Mar-2020",80.46,21.75
"Apr-2020",186.04,137.1
"May-2020",334.11,353
"Jun-2020",418.11,490.12
"Jul-2020",417.53,279.39
"Aug-2020",337.61,245.8
"Sep-2020",268.85,349.87
"Oct-2020",144.09,157.71
"Nov-2020",25.45,24.36
"Dec-2020",12.5,1
"Jan-2021",19.1,11.94
"Feb-2021",28.64,2.99
"Mar-2021",80.46,40.93
"Apr-2021",186.04,68.43
"May-2021",334.11,213.74
"Jun-2021",418.11,303.57
"Jul-2021",417.53,267.69
"Aug-2021",337.61,303.4
"Sep-2021",268.85,165.38
"Oct-2021",144.09,105.2
"Nov-2021",25.45,4.53
"Dec-2021",12.5,12.49
"Jan-2022",19.1,25.63
"Feb-2022",28.64,53.67
"Mar-2022",80.46,41.34
"Apr-2022",186.04,295.08
"May-2022",334.11,376.69
"Jun-2022",418.11,625.89
"Jul-2022",417.53,288.07
"Aug-2022",337.61,229.1
"Sep-2022",268.85,203.68
"Oct-2022",144.09,199.59
"Nov-2022",25.45,0.16
"Dec-2022",12.5,7.23
"Jan-2023",0,0.8
"Feb-2023",0,29.9
"Mar-2023",0,93.25
"Apr-2023",0,120.13
"May-2023",0,166.41
"Jun-2023",418.11,476.95
"Jul-2023",417.53,317.45
"Aug-2023",337.61,351.21
"Sep-2023",268.85,171.52
"Oct-2023",144.09,118.6
"Nov-2023",25.45,17.16
"Dec-2023",12.5,18.55
