Daily rainfall(in mm) trends for Assam from 01-Jan-2019 to 31-Dec-2019

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2019",0.52,0
"02-Jan-2019",0.14,0
"03-Jan-2019",0.21,0
"04-Jan-2019",0.43,1.26
"05-Jan-2019",0.35,0
"06-Jan-2019",0.37,0
"07-Jan-2019",0.84,0
"08-Jan-2019",0.57,0
"09-Jan-2019",0.23,0.01
"10-Jan-2019",0.87,1.33
"11-Jan-2019",0.83,0
"12-Jan-2019",0.59,0
"13-Jan-2019",0.62,0
"14-Jan-2019",0.37,0
"15-Jan-2019",0.59,0
"16-Jan-2019",1.16,0
"17-Jan-2019",0.85,0
"18-Jan-2019",0.68,0
"19-Jan-2019",0.5,0
"20-Jan-2019",0.62,0
"21-Jan-2019",0.53,0
"22-Jan-2019",0.58,0
"23-Jan-2019",0.44,0
"24-Jan-2019",0.4,0
"25-Jan-2019",0.34,0
"26-Jan-2019",0.21,0
"27-Jan-2019",0.19,0
"28-Jan-2019",0.9,0
"29-Jan-2019",0.9,0.04
"30-Jan-2019",1.48,1.94
"31-Jan-2019",1.79,0
"01-Feb-2019",0.84,0
"02-Feb-2019",0.95,0
"03-Feb-2019",0.57,0
"04-Feb-2019",0.68,0
"05-Feb-2019",1.27,0
"06-Feb-2019",1.56,0
"07-Feb-2019",1.17,0
"08-Feb-2019",0.77,0
"09-Feb-2019",0.87,2.04
"10-Feb-2019",0.61,3.56
"11-Feb-2019",1.1,0.05
"12-Feb-2019",0.83,0
"13-Feb-2019",0.94,0
"14-Feb-2019",0.7,0
"15-Feb-2019",1.1,0
"16-Feb-2019",1.17,0.02
"17-Feb-2019",1.33,3.21
"18-Feb-2019",0.65,7.25
"19-Feb-2019",0.66,3.45
"20-Feb-2019",0.76,2.52
"21-Feb-2019",1.05,0.07
"22-Feb-2019",1.41,0
"23-Feb-2019",1.33,0.98
"24-Feb-2019",1.39,2.46
"25-Feb-2019",1.42,0.26
"26-Feb-2019",1.1,1.64
"27-Feb-2019",0.81,1.9
"28-Feb-2019",1.6,4.33
"01-Mar-2019",1.11,7.83
"02-Mar-2019",1.96,0
"03-Mar-2019",1.88,0
"04-Mar-2019",2.93,0.8
"05-Mar-2019",1.41,3.61
"06-Mar-2019",1.45,8.14
"07-Mar-2019",1.96,5.59
"08-Mar-2019",2.06,0.33
"09-Mar-2019",1.71,0.49
"10-Mar-2019",1.59,0.41
"11-Mar-2019",1.91,0.05
"12-Mar-2019",1.67,0.05
"13-Mar-2019",1.97,0.04
"14-Mar-2019",2.02,0
"15-Mar-2019",1.67,0
"16-Mar-2019",1.28,0.12
"17-Mar-2019",2.35,0.76
"18-Mar-2019",2.64,0.18
"19-Mar-2019",3.02,1.71
"20-Mar-2019",4.19,4.38
"21-Mar-2019",3.48,1.17
"22-Mar-2019",3.91,1.78
"23-Mar-2019",2.5,5.86
"24-Mar-2019",3.17,1.5
"25-Mar-2019",3.67,0.13
"26-Mar-2019",2.89,0
"27-Mar-2019",3.66,3.22
"28-Mar-2019",4.83,1.8
"29-Mar-2019",3,0
"30-Mar-2019",3.73,0.15
"31-Mar-2019",4.84,6.76
"01-Apr-2019",5.22,17.97
"02-Apr-2019",4.29,2.59
"03-Apr-2019",3.3,12.71
"04-Apr-2019",4.1,0.21
"05-Apr-2019",4.53,9.69
"06-Apr-2019",3.47,0.1
"07-Apr-2019",4.34,6.52
"08-Apr-2019",5.23,4.93
"09-Apr-2019",5.97,6.01
"10-Apr-2019",5.32,6.48
"11-Apr-2019",5.78,0
"12-Apr-2019",5.94,0
"13-Apr-2019",6.53,0
"14-Apr-2019",6.28,0.9
"15-Apr-2019",7.61,3.38
"16-Apr-2019",7.32,5.43
"17-Apr-2019",6.47,15.67
"18-Apr-2019",7.24,0.22
"19-Apr-2019",7.57,1.63
"20-Apr-2019",6.32,0.92
"21-Apr-2019",6.58,3.16
"22-Apr-2019",5.9,1.73
"23-Apr-2019",6.45,1.09
"24-Apr-2019",7.2,0.05
"25-Apr-2019",6.55,0.03
"26-Apr-2019",6,0.09
"27-Apr-2019",6.56,3.79
"28-Apr-2019",7.23,13.14
"29-Apr-2019",9.25,15.54
"30-Apr-2019",11.48,32.11
"01-May-2019",11.03,34.53
"02-May-2019",10.15,35.41
"03-May-2019",9.83,10.86
"04-May-2019",10.16,8.04
"05-May-2019",11.24,39.72
"06-May-2019",11.69,8.78
"07-May-2019",11.88,6.2
"08-May-2019",10.08,3.8
"09-May-2019",10.18,10.77
"10-May-2019",9.91,14.78
"11-May-2019",9.19,14.5
"12-May-2019",10.98,11.46
"13-May-2019",9.86,8.8
"14-May-2019",9.61,13.57
"15-May-2019",10.1,9.34
"16-May-2019",10.34,6.42
"17-May-2019",10.49,9.69
"18-May-2019",9.81,11.73
"19-May-2019",11.25,6.72
"20-May-2019",13.41,5.48
"21-May-2019",12.1,4.76
"22-May-2019",10.72,10.5
"23-May-2019",9.33,19.63
"24-May-2019",8.24,10.61
"25-May-2019",10.12,14.03
"26-May-2019",12.09,14.33
"27-May-2019",12.33,9.87
"28-May-2019",11.99,11.08
"29-May-2019",11.81,2.68
"30-May-2019",13.72,9.29
"31-May-2019",10.48,5.7
"01-Jun-2019",10.62,5.51
"02-Jun-2019",12.46,0.41
"03-Jun-2019",10.84,2.49
"04-Jun-2019",11.9,15.84
"05-Jun-2019",10.99,3.21
"06-Jun-2019",12.89,1.57
"07-Jun-2019",13.83,6.83
"08-Jun-2019",14.63,10.01
"09-Jun-2019",17.14,5.6
"10-Jun-2019",14.6,11.22
"11-Jun-2019",13.37,6.82
"12-Jun-2019",14.87,1.45
"13-Jun-2019",14.59,1.6
"14-Jun-2019",17.76,10.33
"15-Jun-2019",16.2,17.75
"16-Jun-2019",15.44,18.82
"17-Jun-2019",15.76,11.04
"18-Jun-2019",15.27,10.18
"19-Jun-2019",15.33,8.28
"20-Jun-2019",15.48,8.46
"21-Jun-2019",13.91,11.96
"22-Jun-2019",15.98,9.06
"23-Jun-2019",13.61,5.2
"24-Jun-2019",12.75,4.29
"25-Jun-2019",13.64,9.14
"26-Jun-2019",14.28,42.49
"27-Jun-2019",12.65,23.12
"28-Jun-2019",12.61,27.08
"29-Jun-2019",11.95,19.57
"30-Jun-2019",12.77,3.11
"01-Jul-2019",14.28,1.63
"02-Jul-2019",14.56,14.68
"03-Jul-2019",14.09,16.15
"04-Jul-2019",12.85,6.44
"05-Jul-2019",13.66,9.37
"06-Jul-2019",13.43,10.98
"07-Jul-2019",12.95,31.68
"08-Jul-2019",15.34,26.46
"09-Jul-2019",15.34,31.67
"10-Jul-2019",14.27,34.53
"11-Jul-2019",13.73,23.97
"12-Jul-2019",14.56,20.94
"13-Jul-2019",12.89,20.52
"14-Jul-2019",12.21,18.18
"15-Jul-2019",13.33,40.15
"16-Jul-2019",13.09,20.33
"17-Jul-2019",13.68,4.78
"18-Jul-2019",13.26,0.55
"19-Jul-2019",11.84,3.57
"20-Jul-2019",11.07,7.16
"21-Jul-2019",13.28,10.54
"22-Jul-2019",14.59,21.18
"23-Jul-2019",12.98,33.12
"24-Jul-2019",15.59,20.83
"25-Jul-2019",13.99,6.13
"26-Jul-2019",15.3,17.2
"27-Jul-2019",13.54,20.15
"28-Jul-2019",12.36,4.87
"29-Jul-2019",12.87,9.27
"30-Jul-2019",11.43,7.24
"31-Jul-2019",11.19,18.57
"01-Aug-2019",10.42,18.05
"02-Aug-2019",11.9,9.39
"03-Aug-2019",11.25,13.53
"04-Aug-2019",10.14,5.37
"05-Aug-2019",10.59,2.39
"06-Aug-2019",10.65,0.12
"07-Aug-2019",10.62,3.44
"08-Aug-2019",10.6,8.93
"09-Aug-2019",11.94,5.42
"10-Aug-2019",11.73,3.62
"11-Aug-2019",10.95,2.27
"12-Aug-2019",10.38,0.03
"13-Aug-2019",9.36,9.13
"14-Aug-2019",11.96,10.01
"15-Aug-2019",9.79,13.63
"16-Aug-2019",9.05,6.59
"17-Aug-2019",11.3,7.18
"18-Aug-2019",10.9,11.8
"19-Aug-2019",10.77,4.06
"20-Aug-2019",11.5,3.55
"21-Aug-2019",12.66,3.89
"22-Aug-2019",13.15,1.35
"23-Aug-2019",12.54,6.97
"24-Aug-2019",14.92,18.2
"25-Aug-2019",11.38,2.4
"26-Aug-2019",9.93,2.07
"27-Aug-2019",10.67,4.88
"28-Aug-2019",9.62,10.74
"29-Aug-2019",8.78,1.4
"30-Aug-2019",8.9,4.49
"31-Aug-2019",9.24,12.39
"01-Sep-2019",8.72,1.45
"02-Sep-2019",9.74,0.31
"03-Sep-2019",9.02,5.03
"04-Sep-2019",9.61,10.46
"05-Sep-2019",10.05,16.4
"06-Sep-2019",10.1,6.08
"07-Sep-2019",9.79,9.34
"08-Sep-2019",8.9,11.07
"09-Sep-2019",9.92,10.46
"10-Sep-2019",10.6,8.11
"11-Sep-2019",12.33,9.37
"12-Sep-2019",11.35,14.63
"13-Sep-2019",12.13,20.21
"14-Sep-2019",10.72,13.71
"15-Sep-2019",11.59,8.04
"16-Sep-2019",9.27,12.34
"17-Sep-2019",8.99,11.74
"18-Sep-2019",9.06,5.34
"19-Sep-2019",7.92,0.71
"20-Sep-2019",6.92,0.36
"21-Sep-2019",7.31,1.37
"22-Sep-2019",8.62,1.24
"23-Sep-2019",7.58,20.98
"24-Sep-2019",5.11,29.59
"25-Sep-2019",5.6,24.21
"26-Sep-2019",7.35,6.02
"27-Sep-2019",9.03,11.69
"28-Sep-2019",7.27,1.39
"29-Sep-2019",6.6,8.12
"30-Sep-2019",7.65,6.95
"01-Oct-2019",7.43,13.48
"02-Oct-2019",8.11,2.99
"03-Oct-2019",7.47,2.69
"04-Oct-2019",8.47,4.61
"05-Oct-2019",7.11,2.97
"06-Oct-2019",8.59,0.9
"07-Oct-2019",9.31,13.23
"08-Oct-2019",7.64,12.18
"09-Oct-2019",5.91,8.04
"10-Oct-2019",6.67,6.92
"11-Oct-2019",6.94,5.91
"12-Oct-2019",5.54,0.99
"13-Oct-2019",4.21,0.31
"14-Oct-2019",4.21,0
"15-Oct-2019",3.96,0
"16-Oct-2019",3.78,4.74
"17-Oct-2019",2.72,0.29
"18-Oct-2019",2.5,0.03
"19-Oct-2019",3.22,0.03
"20-Oct-2019",2.98,0
"21-Oct-2019",3.2,2.51
"22-Oct-2019",3.99,4.23
"23-Oct-2019",3.73,0.82
"24-Oct-2019",3.45,1.74
"25-Oct-2019",3.5,6.62
"26-Oct-2019",2.19,30.91
"27-Oct-2019",2.31,18.39
"28-Oct-2019",0.86,0.88
"29-Oct-2019",0.91,0
"30-Oct-2019",1.8,0.01
"31-Oct-2019",1.39,0
"01-Nov-2019",1.55,0.34
"02-Nov-2019",1.41,0
"03-Nov-2019",1.27,0
"04-Nov-2019",1.22,0
"05-Nov-2019",1.62,2.85
"06-Nov-2019",1.78,0.58
"07-Nov-2019",1.26,0.01
"08-Nov-2019",1.43,0
"09-Nov-2019",1.63,0.73
"10-Nov-2019",1.09,2.37
"11-Nov-2019",0.6,3.66
"12-Nov-2019",0.55,0.73
"13-Nov-2019",0.51,0.03
"14-Nov-2019",0.61,0
"15-Nov-2019",0.38,0
"16-Nov-2019",0.29,0.02
"17-Nov-2019",0.34,0.07
"18-Nov-2019",0.82,0.66
"19-Nov-2019",1.09,0.3
"20-Nov-2019",0.56,1.24
"21-Nov-2019",0.34,0.04
"22-Nov-2019",0.46,0
"23-Nov-2019",0.52,0
"24-Nov-2019",0.41,0
"25-Nov-2019",0.42,0
"26-Nov-2019",0.51,0
"27-Nov-2019",0.86,0
"28-Nov-2019",0.56,0
"29-Nov-2019",0.69,0
"30-Nov-2019",0.69,0
"01-Dec-2019",0.73,1.32
"02-Dec-2019",0.39,0.03
"03-Dec-2019",0.15,0
"04-Dec-2019",0.2,0.01
"05-Dec-2019",0.29,0
"06-Dec-2019",0.39,0
"07-Dec-2019",0.39,0
"08-Dec-2019",0.22,0
"09-Dec-2019",0.22,0
"10-Dec-2019",0.7,0
"11-Dec-2019",0.9,0
"12-Dec-2019",0.74,0.68
"13-Dec-2019",0.45,0
"14-Dec-2019",0.45,0
"15-Dec-2019",0.73,0
"16-Dec-2019",0.57,0
"17-Dec-2019",0.34,0.17
"18-Dec-2019",0.3,0.02
"19-Dec-2019",0.18,0
"20-Dec-2019",0.15,0
"21-Dec-2019",0.03,0
"22-Dec-2019",0.16,0
"23-Dec-2019",0.17,0.01
"24-Dec-2019",0.49,0
"25-Dec-2019",0.46,0
"26-Dec-2019",0.35,0.01
"27-Dec-2019",0.52,0.04
"28-Dec-2019",0.56,0.77
"29-Dec-2019",0.39,0
"30-Dec-2019",0.39,0
"31-Dec-2019",0.51,0
