Daily rainfall(in mm) trends for Assam from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2020",0.52,0.08
"02-Jan-2020",0.14,0.76
"03-Jan-2020",0.21,0.22
"04-Jan-2020",0.43,6.13
"05-Jan-2020",0.35,1.1
"06-Jan-2020",0.37,2.73
"07-Jan-2020",0.84,0
"08-Jan-2020",0.57,0
"09-Jan-2020",0.23,0.08
"10-Jan-2020",0.87,0.22
"11-Jan-2020",0.83,0
"12-Jan-2020",0.59,0
"13-Jan-2020",0.62,0
"14-Jan-2020",0.37,0
"15-Jan-2020",0.59,0
"16-Jan-2020",1.16,0
"17-Jan-2020",0.85,0
"18-Jan-2020",0.68,0
"19-Jan-2020",0.5,0.01
"20-Jan-2020",0.62,2.49
"21-Jan-2020",0.53,0.99
"22-Jan-2020",0.58,0.02
"23-Jan-2020",0.44,0.05
"24-Jan-2020",0.4,1.58
"25-Jan-2020",0.34,0.09
"26-Jan-2020",0.21,0
"27-Jan-2020",0.19,0
"28-Jan-2020",0.9,0
"29-Jan-2020",0.9,0
"30-Jan-2020",1.48,0
"31-Jan-2020",1.79,4.29
"01-Feb-2020",0.84,0.11
"02-Feb-2020",0.95,0.73
"03-Feb-2020",0.57,0.23
"04-Feb-2020",0.68,0
"05-Feb-2020",1.27,0.05
"06-Feb-2020",1.56,0.86
"07-Feb-2020",1.17,0
"08-Feb-2020",0.77,0
"09-Feb-2020",0.87,0.09
"10-Feb-2020",0.61,0.16
"11-Feb-2020",1.1,0
"12-Feb-2020",0.83,0
"13-Feb-2020",0.94,0.02
"14-Feb-2020",0.7,0.01
"15-Feb-2020",1.1,0.53
"16-Feb-2020",1.17,0
"17-Feb-2020",1.33,0.02
"18-Feb-2020",0.65,0.83
"19-Feb-2020",0.66,1.73
"20-Feb-2020",0.76,0.05
"21-Feb-2020",1.05,0
"22-Feb-2020",1.41,0
"23-Feb-2020",1.33,0
"24-Feb-2020",1.39,0.02
"25-Feb-2020",1.42,0.09
"26-Feb-2020",1.1,5.19
"27-Feb-2020",0.81,8.6
"28-Feb-2020",1.6,0.1
"29-Feb-2020",0,0
