Monthly rainfall(in mm) trends for Chhattisgarh from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jan-2020",13.29,30.6
"Feb-2020",14.75,40.27
"Mar-2020",15.21,58.64
"Apr-2020",14.66,33.02
"May-2020",20.84,41.04
"Jun-2020",180.01,280.18
"Jul-2020",368.42,150.84
"Aug-2020",366.24,507.79
"Sep-2020",225.41,163.51
"Oct-2020",66.12,90.34
"Nov-2020",10.39,5.77
"Dec-2020",4.74,1.02
"Jan-2021",13.29,2.47
"Feb-2021",14.75,10.51
"Mar-2021",15.21,5.82
"Apr-2021",14.66,14
"May-2021",20.84,72.16
"Jun-2021",180.01,182.14
"Jul-2021",368.42,301.67
"Aug-2021",366.24,210.44
"Sep-2021",225.41,296.43
"Oct-2021",66.12,42.83
"Nov-2021",10.39,24.25
"Dec-2021",4.74,28.78
"Jan-2022",13.29,40.27
"Feb-2022",14.75,11.56
"Mar-2022",15.21,0.72
"Apr-2022",14.66,9.34
"May-2022",20.84,27.17
"Jun-2022",180.01,134.07
"Jul-2022",368.42,405.11
"Aug-2022",366.24,442.34
"Sep-2022",225.41,224.13
"Oct-2022",66.12,71.61
"Nov-2022",10.39,0.03
"Dec-2022",4.74,2.3
"Jan-2023",0,0.15
"Feb-2023",0,0
"Mar-2023",0,39.44
"Apr-2023",0,43.61
"May-2023",0,41.3
"Jun-2023",180.01,167.27
"Jul-2023",368.42,321.49
"Aug-2023",366.24,245.03
"Sep-2023",225.41,324.14
"Oct-2023",66.12,37.57
"Nov-2023",10.39,5.02
"Dec-2023",4.74,31.48
