Daily rainfall(in mm) trends for Chhattisgarh from 01-Jan-2019 to 31-Dec-2019

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2019",0.24,0
"02-Jan-2019",0.32,0
"03-Jan-2019",0.37,0
"04-Jan-2019",0.3,0
"05-Jan-2019",0.46,0
"06-Jan-2019",0.73,0
"07-Jan-2019",0.25,0
"08-Jan-2019",0.23,0
"09-Jan-2019",0.21,0
"10-Jan-2019",0.24,0
"11-Jan-2019",0.88,0
"12-Jan-2019",0.54,0
"13-Jan-2019",0.43,0
"14-Jan-2019",0.4,0
"15-Jan-2019",0.43,0
"16-Jan-2019",0.42,0
"17-Jan-2019",0.11,0
"18-Jan-2019",0.14,0
"19-Jan-2019",0.15,0
"20-Jan-2019",0.37,0
"21-Jan-2019",0.77,0
"22-Jan-2019",0.67,0
"23-Jan-2019",0.4,0
"24-Jan-2019",0.22,0.09
"25-Jan-2019",0.38,2.63
"26-Jan-2019",0.29,6.31
"27-Jan-2019",0.62,3.41
"28-Jan-2019",0.93,1.33
"29-Jan-2019",0.7,0.03
"30-Jan-2019",0.66,0
"31-Jan-2019",0.42,0
"01-Feb-2019",0.74,0
"02-Feb-2019",0.34,0
"03-Feb-2019",0.3,0
"04-Feb-2019",0.43,0
"05-Feb-2019",0.39,0
"06-Feb-2019",0.56,0
"07-Feb-2019",0.6,0
"08-Feb-2019",0.44,0.37
"09-Feb-2019",0.32,1.63
"10-Feb-2019",0.56,0
"11-Feb-2019",0.27,0
"12-Feb-2019",0.54,0
"13-Feb-2019",0.35,0
"14-Feb-2019",0.56,0
"15-Feb-2019",0.64,0
"16-Feb-2019",0.4,7.61
"17-Feb-2019",0.36,0
"18-Feb-2019",0.53,0
"19-Feb-2019",1.14,0
"20-Feb-2019",0.42,0
"21-Feb-2019",0.62,0
"22-Feb-2019",0.87,0
"23-Feb-2019",0.7,0
"24-Feb-2019",0.43,0
"25-Feb-2019",0.58,1.25
"26-Feb-2019",0.33,0.14
"27-Feb-2019",0.62,0.09
"28-Feb-2019",0.7,1.27
"01-Mar-2019",0.46,0.08
"02-Mar-2019",0.61,0
"03-Mar-2019",0.54,0.21
"04-Mar-2019",0.54,1.09
"05-Mar-2019",0.19,0
"06-Mar-2019",0.23,0
"07-Mar-2019",0.2,0
"08-Mar-2019",0.24,0
"09-Mar-2019",0.22,0
"10-Mar-2019",0.23,0
"11-Mar-2019",0.55,0
"12-Mar-2019",0.61,0
"13-Mar-2019",0.35,0.31
"14-Mar-2019",0.23,0.11
"15-Mar-2019",0.22,1.09
"16-Mar-2019",0.37,1.78
"17-Mar-2019",0.46,0
"18-Mar-2019",0.33,5.82
"19-Mar-2019",0.26,0.02
"20-Mar-2019",0.6,0
