Daily rainfall(in mm) trends for Chhattisgarh from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2020",0.24,0.57
"02-Jan-2020",0.32,3.74
"03-Jan-2020",0.37,12.02
"04-Jan-2020",0.3,2.34
"05-Jan-2020",0.46,0.03
"06-Jan-2020",0.73,0
"07-Jan-2020",0.25,0
"08-Jan-2020",0.23,0
"09-Jan-2020",0.21,9.67
"10-Jan-2020",0.24,0.37
"11-Jan-2020",0.88,0
"12-Jan-2020",0.54,0
"13-Jan-2020",0.43,0
"14-Jan-2020",0.4,0
"15-Jan-2020",0.43,0
"16-Jan-2020",0.42,0
"17-Jan-2020",0.11,0
"18-Jan-2020",0.14,0.01
"19-Jan-2020",0.15,0.26
"20-Jan-2020",0.37,0.08
"21-Jan-2020",0.77,0
"22-Jan-2020",0.67,0
"23-Jan-2020",0.4,0.28
"24-Jan-2020",0.22,0
"25-Jan-2020",0.38,0
"26-Jan-2020",0.29,0
"27-Jan-2020",0.62,0
"28-Jan-2020",0.93,0
"29-Jan-2020",0.7,1.13
"30-Jan-2020",0.66,0.12
"31-Jan-2020",0.42,0
"01-Feb-2020",0.74,0
"02-Feb-2020",0.34,0
"03-Feb-2020",0.3,0.1
"04-Feb-2020",0.43,0.23
"05-Feb-2020",0.39,3.86
"06-Feb-2020",0.56,0.23
"07-Feb-2020",0.6,4.08
"08-Feb-2020",0.44,8.98
"09-Feb-2020",0.32,5.11
"10-Feb-2020",0.56,0.04
"11-Feb-2020",0.27,0
"12-Feb-2020",0.54,0
"13-Feb-2020",0.35,0
"14-Feb-2020",0.56,0
"15-Feb-2020",0.64,0
"16-Feb-2020",0.4,0
"17-Feb-2020",0.36,0
"18-Feb-2020",0.53,0
"19-Feb-2020",1.14,0
"20-Feb-2020",0.42,0
"21-Feb-2020",0.62,0
"22-Feb-2020",0.87,0.01
"23-Feb-2020",0.7,0.15
"24-Feb-2020",0.43,6.35
"25-Feb-2020",0.58,9.5
"26-Feb-2020",0.33,1.64
"27-Feb-2020",0.62,0
"28-Feb-2020",0.7,0
"29-Feb-2020",0,0
"01-Mar-2020",0.46,0
"02-Mar-2020",0.61,0.07
