Daily rainfall(in mm) trends for Chhattisgarh from 01-Jan-2014 to 31-Dec-2023,,
,,
Dates,NORMAL (mm) ,ACTUAL (mm) 
01-Jan-14,0.24,0
02-Jan-14,0.32,0
03-Jan-14,0.37,0
04-Jan-14,0.3,0
05-Jan-14,0.46,0.02
06-Jan-14,0.73,0.24
07-Jan-14,0.25,0
08-Jan-14,0.23,0
09-Jan-14,0.21,0
10-Jan-14,0.24,0.01
11-Jan-14,0.88,0.33
12-Jan-14,0.54,0.54
13-Jan-14,0.43,0
14-Jan-14,0.4,0
15-Jan-14,0.43,0
16-Jan-14,0.42,0.09
17-Jan-14,0.11,0
18-Jan-14,0.14,0.02
19-Jan-14,0.15,0.98
20-Jan-14,0.37,0
21-Jan-14,0.77,0
22-Jan-14,0.67,0
23-Jan-14,0.4,0
24-Jan-14,0.22,0
25-Jan-14,0.38,0
26-Jan-14,0.29,0
27-Jan-14,0.62,0
28-Jan-14,0.93,0
29-Jan-14,0.7,0
30-Jan-14,0.66,0
31-Jan-14,0.42,0
01-Feb-14,0.74,0
02-Feb-14,0.34,0
03-Feb-14,0.3,0
04-Feb-14,0.43,0
05-Feb-14,0.39,0
06-Feb-14,0.56,0
07-Feb-14,0.6,0
08-Feb-14,0.44,0
09-Feb-14,0.32,0
10-Feb-14,0.56,0
11-Feb-14,0.27,0
12-Feb-14,0.54,0
13-Feb-14,0.35,0
14-Feb-14,0.56,0.25
15-Feb-14,0.64,3.44
16-Feb-14,0.4,3.78
17-Feb-14,0.36,1
18-Feb-14,0.53,0
19-Feb-14,1.14,0
20-Feb-14,0.42,0
21-Feb-14,0.62,0
22-Feb-14,0.87,0
23-Feb-14,0.7,3.34
24-Feb-14,0.43,5.62
25-Feb-14,0.58,0
26-Feb-14,0.33,1.36
27-Feb-14,0.62,1.66
28-Feb-14,0.7,11.25
01-Mar-14,0.46,5.12
02-Mar-14,0.61,6.29
03-Mar-14,0.54,1.77
04-Mar-14,0.54,2.93
05-Mar-14,0.19,1.9
06-Mar-14,0.23,0
