Monthly rainfall(in mm) trends for Gujarat from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jan-2020",1.11,0.08
"Feb-2020",0.86,0
"Mar-2020",1.33,1.93
"Apr-2020",1.26,0.18
"May-2020",3.92,0.35
"Jun-2020",97.3,116.69
"Jul-2020",263.01,167.91
"Aug-2020",203.01,607.29
"Sep-2020",109.36,116.41
"Oct-2020",17.19,22.23
"Nov-2020",10.86,0.02
"Dec-2020",1.68,7
"Jan-2021",1.11,1.21
"Feb-2021",0.86,0.06
"Mar-2021",1.33,0
"Apr-2021",1.26,1.19
"May-2021",3.92,50.4
"Jun-2021",97.3,72.62
"Jul-2021",263.01,134.41
"Aug-2021",203.01,48.55
"Sep-2021",109.36,394.54
"Oct-2021",17.19,24.34
"Nov-2021",10.86,13.48
"Dec-2021",1.68,11.02
"Jan-2022",1.11,1.77
"Feb-2022",0.86,0
"Mar-2022",1.33,0.01
"Apr-2022",1.26,0.02
"May-2022",3.92,0.06
"Jun-2022",97.3,50.98
"Jul-2022",263.01,461.74
"Aug-2022",203.01,242.97
"Sep-2022",109.36,134.32
"Oct-2022",17.19,21.12
"Nov-2022",10.86,0
"Dec-2022",1.68,0.22
"Jan-2023",0,1.89
"Feb-2023",0,0
"Mar-2023",0,12.64
"Apr-2023",0,5.61
"May-2023",0,16.77
"Jun-2023",97.3,198.72
"Jul-2023",263.01,416.84
"Aug-2023",203.01,23.62
"Sep-2023",109.36,186.12
"Oct-2023",17.19,2.22
"Nov-2023",10.86,24.04
"Dec-2023",1.68,1.03
