Daily rainfall(in mm) trends for Gujarat from 01-Jan-2019 to 31-Dec-2019

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2019",0.01,0
"02-Jan-2019",0.09,0
"03-Jan-2019",0.07,0
"04-Jan-2019",0.05,0
"05-Jan-2019",0.09,0
"06-Jan-2019",0.08,0
"07-Jan-2019",0.08,0
"08-Jan-2019",0.06,0
"09-Jan-2019",0.05,0
"10-Jan-2019",0.01,0
"11-Jan-2019",0.03,0
"12-Jan-2019",0,0
"13-Jan-2019",0.01,0
"14-Jan-2019",0.01,0
"15-Jan-2019",0,0
"16-Jan-2019",0,0
"17-Jan-2019",0.01,0
"18-Jan-2019",0.05,0
"19-Jan-2019",0.07,0
"20-Jan-2019",0.06,0
"21-Jan-2019",0,0
"22-Jan-2019",0,0.02
"23-Jan-2019",0,0
"24-Jan-2019",0.08,0
"25-Jan-2019",0.01,0
"26-Jan-2019",0.01,0
"27-Jan-2019",0,0
"28-Jan-2019",0.04,0
"29-Jan-2019",0.01,0
"30-Jan-2019",0.07,0
"31-Jan-2019",0.05,0
"01-Feb-2019",0.01,0
"02-Feb-2019",0.04,0
"03-Feb-2019",0.01,0
"04-Feb-2019",0.1,0
"05-Feb-2019",0.05,0
"06-Feb-2019",0,0
"07-Feb-2019",0,0
"08-Feb-2019",0,0
"09-Feb-2019",0,0
"10-Feb-2019",0,0
"11-Feb-2019",0,0
"12-Feb-2019",0,0
"13-Feb-2019",0,0
"14-Feb-2019",0.03,0
"15-Feb-2019",0.08,0
"16-Feb-2019",0,0
"17-Feb-2019",0,0
"18-Feb-2019",0.03,0
"19-Feb-2019",0.2,0
"20-Feb-2019",0.06,0
"21-Feb-2019",0,0
"22-Feb-2019",0.01,0
"23-Feb-2019",0.01,0
"24-Feb-2019",0.03,0
"25-Feb-2019",0.02,0
"26-Feb-2019",0.07,0
"27-Feb-2019",0.08,0.29
"28-Feb-2019",0.03,0
"01-Mar-2019",0,0
"02-Mar-2019",0,0
"03-Mar-2019",0,0
"04-Mar-2019",0,0
"05-Mar-2019",0,0
"06-Mar-2019",0,0
"07-Mar-2019",0,0
"08-Mar-2019",0,0
"09-Mar-2019",0,0
"10-Mar-2019",0,0
"11-Mar-2019",0,0
"12-Mar-2019",0,0
"13-Mar-2019",0.04,0
"14-Mar-2019",0.01,0
"15-Mar-2019",0,0
"16-Mar-2019",0.06,0
"17-Mar-2019",0,0
"18-Mar-2019",0,0
"19-Mar-2019",0.01,0
"20-Mar-2019",0.01,0
"21-Mar-2019",0.02,0
"22-Mar-2019",0.08,0
"23-Mar-2019",0.23,0
"24-Mar-2019",0.38,0
"25-Mar-2019",0.27,0
"26-Mar-2019",0.1,0
"27-Mar-2019",0.01,0
"28-Mar-2019",0.04,0
"29-Mar-2019",0.03,0
"30-Mar-2019",0.03,0
"31-Mar-2019",0.01,0
"01-Apr-2019",0.01,0
"02-Apr-2019",0.03,0
"03-Apr-2019",0.02,0
"04-Apr-2019",0,0
"05-Apr-2019",0,0
"06-Apr-2019",0,0
"07-Apr-2019",0,0
"08-Apr-2019",0.01,0
"09-Apr-2019",0,0
"10-Apr-2019",0,0
"11-Apr-2019",0.01,0
"12-Apr-2019",0.01,0
"13-Apr-2019",0.03,0
"14-Apr-2019",0.03,0
"15-Apr-2019",0.09,0.01
"16-Apr-2019",0.05,0.04
"17-Apr-2019",0.25,0.7
"18-Apr-2019",0.4,0
"19-Apr-2019",0.11,0
"20-Apr-2019",0.01,0
"21-Apr-2019",0.01,0
"22-Apr-2019",0,0
"23-Apr-2019",0.01,0
"24-Apr-2019",0.05,0
"25-Apr-2019",0.03,0
"26-Apr-2019",0.03,0
"27-Apr-2019",0.05,0
"28-Apr-2019",0,0
"29-Apr-2019",0.01,0
"30-Apr-2019",0,0
"01-May-2019",0.01,0
"02-May-2019",0.01,0
"03-May-2019",0,0
"04-May-2019",0.02,0
"05-May-2019",0.04,0.06
"06-May-2019",0.14,0
"07-May-2019",0.26,0
"08-May-2019",0.16,0
"09-May-2019",0.11,0
"10-May-2019",0.05,0
"11-May-2019",0.03,0.05
"12-May-2019",0.07,0
"13-May-2019",0.04,0.04
"14-May-2019",0.03,0
"15-May-2019",0.1,0
"16-May-2019",0.08,0
"17-May-2019",0.08,0.02
"18-May-2019",0.12,0.06
"19-May-2019",0.02,0.01
"20-May-2019",0.02,0
"21-May-2019",0.04,0
"22-May-2019",0.05,0
"23-May-2019",0.06,0
"24-May-2019",0.06,0
"25-May-2019",0.16,0
"26-May-2019",0.32,0
"27-May-2019",0.48,0
"28-May-2019",0.18,0
"29-May-2019",0.22,0
"30-May-2019",0.4,0
"31-May-2019",0.54,0
"01-Jun-2019",0.8,0
"02-Jun-2019",0.66,0
"03-Jun-2019",0.94,0
"04-Jun-2019",1.55,0
"05-Jun-2019",1.87,0
"06-Jun-2019",2.25,0
"07-Jun-2019",1.5,0
"08-Jun-2019",1.12,0
"09-Jun-2019",1.05,0
"10-Jun-2019",1.13,0
"11-Jun-2019",2.34,0
"12-Jun-2019",2.04,0.45
"13-Jun-2019",2.26,4.69
"14-Jun-2019",2,7.96
"15-Jun-2019",2.58,4.67
"16-Jun-2019",3.04,3.09
"17-Jun-2019",2.7,0.83
"18-Jun-2019",2.16,2.96
"19-Jun-2019",2.51,11.25
"20-Jun-2019",3.88,1.55
"21-Jun-2019",4.8,0.07
"22-Jun-2019",5.6,0.21
"23-Jun-2019",6.54,2.99
"24-Jun-2019",4.27,3.08
"25-Jun-2019",5.02,7.63
"26-Jun-2019",5.69,6.32
"27-Jun-2019",6.19,4.27
"28-Jun-2019",6.19,5.32
"29-Jun-2019",7.53,8.4
"30-Jun-2019",7.09,9.62
"01-Jul-2019",8.39,10.5
"02-Jul-2019",9.29,1.89
"03-Jul-2019",9.15,3.98
"04-Jul-2019",9.22,5.91
"05-Jul-2019",8.36,7.84
"06-Jul-2019",8.68,11.84
"07-Jul-2019",9.95,13.89
"08-Jul-2019",8.83,3.36
"09-Jul-2019",8.48,1.07
"10-Jul-2019",8.06,0.36
"11-Jul-2019",9.61,0.28
"12-Jul-2019",7.53,0.27
"13-Jul-2019",7.75,0.24
"14-Jul-2019",9.93,0.66
"15-Jul-2019",9.71,0.18
"16-Jul-2019",9.76,0.13
"17-Jul-2019",9.88,0.16
"18-Jul-2019",8.79,0.29
"19-Jul-2019",8.68,0.32
"20-Jul-2019",7.82,0.79
"21-Jul-2019",6.7,8.35
"22-Jul-2019",6.1,12.75
"23-Jul-2019",5.78,5.1
"24-Jul-2019",7.47,4.66
"25-Jul-2019",8.12,8.26
"26-Jul-2019",9.03,6.91
"27-Jul-2019",10.55,6.96
"28-Jul-2019",8.79,4.62
"29-Jul-2019",8.78,12.59
"30-Jul-2019",7.35,31.08
"31-Jul-2019",6.48,23.81
"01-Aug-2019",7.51,34.43
"02-Aug-2019",6.28,13.06
"03-Aug-2019",6.13,17.86
"04-Aug-2019",8.1,32.67
"05-Aug-2019",11.01,25.94
"06-Aug-2019",8.09,6.33
"07-Aug-2019",6.53,1.96
"08-Aug-2019",7.05,2.9
"09-Aug-2019",7.11,19.57
"10-Aug-2019",8.28,96.06
"11-Aug-2019",8.67,72.15
"12-Aug-2019",8.32,5.89
"13-Aug-2019",6.74,0.48
"14-Aug-2019",4.68,0.51
"15-Aug-2019",4.84,2.89
"16-Aug-2019",6.63,14.28
"17-Aug-2019",9.55,9.75
"18-Aug-2019",7.96,2.78
"19-Aug-2019",5.82,1.37
"20-Aug-2019",5.24,2.13
"21-Aug-2019",4.41,1.42
"22-Aug-2019",3.63,1.13
"23-Aug-2019",3.86,1.02
"24-Aug-2019",5.58,0.43
"25-Aug-2019",4.69,0.13
"26-Aug-2019",5.11,1.71
"27-Aug-2019",5.17,8.2
"28-Aug-2019",5.76,14.59
"29-Aug-2019",6.74,14.53
"30-Aug-2019",7.08,1.88
"31-Aug-2019",6.42,1.38
"01-Sep-2019",6.63,6.15
"02-Sep-2019",5.57,16.61
"03-Sep-2019",4.96,9.19
"04-Sep-2019",4.6,4.84
"05-Sep-2019",4.72,20.95
"06-Sep-2019",6.19,19.96
"07-Sep-2019",6.36,6.17
"08-Sep-2019",4.73,17.71
"09-Sep-2019",3.87,16.71
"10-Sep-2019",4.91,21.67
"11-Sep-2019",4.8,17.98
"12-Sep-2019",4.03,10.65
"13-Sep-2019",3.63,6.27
"14-Sep-2019",3.44,8.03
"15-Sep-2019",2.5,2.99
"16-Sep-2019",2.31,2.02
"17-Sep-2019",2.29,0.62
"18-Sep-2019",2.27,0.65
