Daily rainfall(in mm) trends for Gujarat from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2020",0.01,0
"02-Jan-2020",0.09,0
"03-Jan-2020",0.07,0
"04-Jan-2020",0.05,0
"05-Jan-2020",0.09,0
"06-Jan-2020",0.08,0
"07-Jan-2020",0.08,0
"08-Jan-2020",0.06,0
"09-Jan-2020",0.05,0
"10-Jan-2020",0.01,0
"11-Jan-2020",0.03,0
"12-Jan-2020",0,0
"13-Jan-2020",0.01,0.06
"14-Jan-2020",0.01,0.01
"15-Jan-2020",0,0
"16-Jan-2020",0,0
"17-Jan-2020",0.01,0
"18-Jan-2020",0.05,0
"19-Jan-2020",0.07,0
"20-Jan-2020",0.06,0
"21-Jan-2020",0,0
"22-Jan-2020",0,0
"23-Jan-2020",0,0
"24-Jan-2020",0.08,0
"25-Jan-2020",0.01,0
"26-Jan-2020",0.01,0
"27-Jan-2020",0,0
"28-Jan-2020",0.04,0
"29-Jan-2020",0.01,0
"30-Jan-2020",0.07,0
"31-Jan-2020",0.05,0
"01-Feb-2020",0.01,0
"02-Feb-2020",0.04,0
"03-Feb-2020",0.01,0
"04-Feb-2020",0.1,0
"05-Feb-2020",0.05,0
"06-Feb-2020",0,0
"07-Feb-2020",0,0
"08-Feb-2020",0,0
"09-Feb-2020",0,0
"10-Feb-2020",0,0
"11-Feb-2020",0,0
"12-Feb-2020",0,0
"13-Feb-2020",0,0
"14-Feb-2020",0.03,0
"15-Feb-2020",0.08,0
"16-Feb-2020",0,0
"17-Feb-2020",0,0
"18-Feb-2020",0.03,0
"19-Feb-2020",0.2,0
"20-Feb-2020",0.06,0
"21-Feb-2020",0,0
"22-Feb-2020",0.01,0
"23-Feb-2020",0.01,0
"24-Feb-2020",0.03,0
"25-Feb-2020",0.02,0
"26-Feb-2020",0.07,0
"27-Feb-2020",0.08,0
"28-Feb-2020",0.03,0
"29-Feb-2020",0,0
"01-Mar-2020",0,0
"02-Mar-2020",0,0
"03-Mar-2020",0,0
"04-Mar-2020",0,0
"05-Mar-2020",0,0
"06-Mar-2020",0,0.48
"07-Mar-2020",0,0.04
"08-Mar-2020",0,0
"09-Mar-2020",0,0
"10-Mar-2020",0,0
"11-Mar-2020",0,0
"12-Mar-2020",0,0
"13-Mar-2020",0.04,0
"14-Mar-2020",0.01,0
"15-Mar-2020",0,0
"16-Mar-2020",0.06,0
"17-Mar-2020",0,0
"18-Mar-2020",0,0
"19-Mar-2020",0.01,0
"20-Mar-2020",0.01,0
"21-Mar-2020",0.02,0
"22-Mar-2020",0.08,0
"23-Mar-2020",0.23,0.05
"24-Mar-2020",0.38,0.02
"25-Mar-2020",0.27,0
"26-Mar-2020",0.1,0.1
"27-Mar-2020",0.01,1.16
"28-Mar-2020",0.04,0.07
"29-Mar-2020",0.03,0
"30-Mar-2020",0.03,0
"31-Mar-2020",0.01,0
"01-Apr-2020",0.01,0
"02-Apr-2020",0.03,0
"03-Apr-2020",0.02,0
"04-Apr-2020",0,0
"05-Apr-2020",0,0
"06-Apr-2020",0,0
"07-Apr-2020",0,0
"08-Apr-2020",0.01,0
"09-Apr-2020",0,0.01
"10-Apr-2020",0,0.01
"11-Apr-2020",0.01,0
"12-Apr-2020",0.01,0
"13-Apr-2020",0.03,0
"14-Apr-2020",0.03,0
"15-Apr-2020",0.09,0
"16-Apr-2020",0.05,0
"17-Apr-2020",0.25,0
"18-Apr-2020",0.4,0
"19-Apr-2020",0.11,0
"20-Apr-2020",0.01,0
"21-Apr-2020",0.01,0
"22-Apr-2020",0,0
"23-Apr-2020",0.01,0
"24-Apr-2020",0.05,0
"25-Apr-2020",0.03,0
"26-Apr-2020",0.03,0.01
"27-Apr-2020",0.05,0
"28-Apr-2020",0,0
"29-Apr-2020",0.01,0
"30-Apr-2020",0,0.15
"01-May-2020",0.01,0.02
"02-May-2020",0.01,0
"03-May-2020",0,0
"04-May-2020",0.02,0
"05-May-2020",0.04,0.3
"06-May-2020",0.14,0
"07-May-2020",0.26,0
"08-May-2020",0.16,0
"09-May-2020",0.11,0
"13-May-2020",0.04,0
"14-May-2020",0.03,0
"15-May-2020",0.1,0
"16-May-2020",0.08,0.01
"17-May-2020",0.08,0
"18-May-2020",0.12,0
"19-May-2020",0.02,0
"20-May-2020",0.02,0
"21-May-2020",0.04,0
"22-May-2020",0.05,0
"23-May-2020",0.06,0
"24-May-2020",0.06,0
"25-May-2020",0.16,0
"26-May-2020",0.32,0
"27-May-2020",0.48,0
"28-May-2020",0.18,0
"29-May-2020",0.22,0
"30-May-2020",0.4,0
"31-May-2020",0.54,0.01
"01-Jun-2020",0.8,0.3
"02-Jun-2020",0.66,0.44
"03-Jun-2020",0.94,1.17
"04-Jun-2020",1.55,3.22
"05-Jun-2020",1.87,4.34
"06-Jun-2020",2.25,7.5
"07-Jun-2020",1.5,4.15
"08-Jun-2020",1.12,7.47
"09-Jun-2020",1.05,10.88
