Monthly rainfall(in mm) trends for Jammu & kashmir from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jan-2020",91.11,0
"Feb-2020",108.81,2.92
"Mar-2020",148.76,276.23
"Apr-2020",94.09,483.19
"May-2020",71.27,0.06
"Jun-2020",58.32,137.98
"Jul-2020",202.16,40.47
"Aug-2020",193.82,250.66
"Sep-2020",98.69,38.02
"Oct-2020",35.46,0.15
"Nov-2020",29.08,75.97
"Dec-2020",69.89,71.95
"Jan-2021",91.11,107.75
"Feb-2021",108.81,47.6
"Mar-2021",148.76,135.82
"Apr-2021",94.09,96.44
"May-2021",71.27,64.38
"Jun-2021",58.32,46.94
"Jul-2021",202.16,235.28
"Aug-2021",193.82,79.23
"Sep-2021",98.69,81.32
"Oct-2021",35.46,101.61
"Nov-2021",29.08,3.25
"Dec-2021",69.89,16.28
"Jan-2022",91.11,185.61
"Feb-2022",108.81,73.65
"Mar-2022",148.76,27.01
"Apr-2022",94.09,26.61
"May-2022",71.27,71.73
"Jun-2022",58.32,133.47
"Jul-2022",202.16,221.77
"Aug-2022",193.82,204.79
"Sep-2022",98.69,61.72
"Oct-2022",35.46,36.39
"Nov-2022",29.08,67.23
"Dec-2022",69.89,19.68
"Jan-2023",0,116.1
"Feb-2023",0,36.29
"Mar-2023",0,56.06
"Apr-2023",0,137.15
"May-2023",0,114.91
"Jun-2023",58.32,87.19
"Jul-2023",202.16,218.26
"Aug-2023",193.82,104.74
"Sep-2023",98.69,76.16
"Oct-2023",35.46,59.18
"Nov-2023",29.08,32.59
"Dec-2023",69.89,8.01
