Daily rainfall(in mm) trends for Jammu & kashmir from 01-Jan-2019 to 31-Dec-2019

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2019",2.42,0
"02-Jan-2019",2.15,0
"03-Jan-2019",1.83,0
"04-Jan-2019",2.64,0
"05-Jan-2019",2.97,0
"06-Jan-2019",2.78,0
"07-Jan-2019",3.21,0
"08-Jan-2019",3.55,0
"09-Jan-2019",2.89,0
"10-Jan-2019",1.62,0
"11-Jan-2019",1.83,0
"12-Jan-2019",1.85,0
"13-Jan-2019",2.67,0
"14-Jan-2019",1.75,0
"15-Jan-2019",1.69,0
"16-Jan-2019",2.31,0
"17-Jan-2019",1.66,0
"18-Jan-2019",2.86,0
"19-Jan-2019",3.19,0
"20-Jan-2019",3.55,0
"21-Jan-2019",2.56,0
"22-Jan-2019",3.66,0
"23-Jan-2019",2.3,0
"24-Jan-2019",3.7,0
"25-Jan-2019",4.36,0
"26-Jan-2019",5.09,0
"27-Jan-2019",4.41,0
"28-Jan-2019",5.5,0
"29-Jan-2019",3.24,0
"30-Jan-2019",3.58,0
"31-Jan-2019",3.3,0
"01-Feb-2019",3.39,12.99
"02-Feb-2019",2.79,12.99
"03-Feb-2019",3.88,12.99
"04-Feb-2019",4.92,12.99
"05-Feb-2019",3.18,12.99
"06-Feb-2019",2.18,12.99
"07-Feb-2019",3.24,12.99
"08-Feb-2019",4.26,12.99
"09-Feb-2019",3.15,12.99
"10-Feb-2019",1.83,12.99
"11-Feb-2019",2.71,12.99
"12-Feb-2019",2.74,12.99
"13-Feb-2019",5.18,12.99
"14-Feb-2019",3.35,12.99
"15-Feb-2019",3.58,12.99
"16-Feb-2019",2.69,12.99
"17-Feb-2019",3.73,12.99
"18-Feb-2019",4.71,12.99
"19-Feb-2019",4.06,12.99
"20-Feb-2019",7.53,12.99
"21-Feb-2019",4.63,12.99
"22-Feb-2019",3.03,12.99
"23-Feb-2019",1.81,12.99
"24-Feb-2019",3.91,12.99
"25-Feb-2019",7.31,12.99
"26-Feb-2019",4.25,12.99
"27-Feb-2019",4.88,12.99
"28-Feb-2019",5.88,12.99
"01-Mar-2019",4.46,12.99
"02-Mar-2019",3.32,0
"03-Mar-2019",4.48,0
"04-Mar-2019",3.51,0
"05-Mar-2019",4.49,0
"06-Mar-2019",5.5,0
"07-Mar-2019",4.03,0
"08-Mar-2019",3.4,0
"09-Mar-2019",4.29,0
"10-Mar-2019",6.28,0
"11-Mar-2019",7.91,0
"12-Mar-2019",4.25,0
"13-Mar-2019",3.37,0
"14-Mar-2019",2.14,0
"15-Mar-2019",2.83,0
"16-Mar-2019",4.12,0
"17-Mar-2019",6.49,0
"18-Mar-2019",9.76,0
"19-Mar-2019",6.22,0
"20-Mar-2019",6,0
"21-Mar-2019",6.1,0
"22-Mar-2019",9.8,0
"23-Mar-2019",7.37,0
"24-Mar-2019",4.53,0
"25-Mar-2019",4.09,0
"26-Mar-2019",5.73,0
"27-Mar-2019",4.1,0
"28-Mar-2019",2.23,0
"29-Mar-2019",2.09,0
"30-Mar-2019",3.28,0
"31-Mar-2019",2.58,0
"01-Apr-2019",2.53,0
"02-Apr-2019",3.09,0
"03-Apr-2019",4.24,0
"04-Apr-2019",3.77,0
"05-Apr-2019",2.58,0
"06-Apr-2019",2.93,0
"07-Apr-2019",4.9,0
"08-Apr-2019",3.18,0
"09-Apr-2019",2.77,0
"10-Apr-2019",2.78,0
"11-Apr-2019",2.36,0
"12-Apr-2019",2.22,0
"13-Apr-2019",3.81,0
"14-Apr-2019",2.69,0
"15-Apr-2019",2.77,0
"16-Apr-2019",4.9,0
"17-Apr-2019",4.65,0
"18-Apr-2019",4.4,0
"19-Apr-2019",2.59,0
"20-Apr-2019",1.64,0
"21-Apr-2019",2.48,0
"22-Apr-2019",1.63,0
"23-Apr-2019",2.38,0
"24-Apr-2019",2.68,0
"25-Apr-2019",2.71,0
"26-Apr-2019",3.36,0
"27-Apr-2019",3.73,0
"28-Apr-2019",3.37,0
"29-Apr-2019",4.09,0
"30-Apr-2019",2.86,0
"01-May-2019",1.8,5.34
"02-May-2019",2.89,5.34
"03-May-2019",1.6,5.34
"04-May-2019",1.51,5.34
"05-May-2019",2.11,5.34
"06-May-2019",1.87,5.34
"07-May-2019",1.64,5.34
"08-May-2019",2.14,5.34
"09-May-2019",2.45,5.34
"10-May-2019",3.92,5.34
"11-May-2019",3.72,5.34
"12-May-2019",2.7,5.34
"13-May-2019",4.09,5.34
"14-May-2019",3.14,5.34
"15-May-2019",2.73,5.34
"16-May-2019",2.08,5.34
"17-May-2019",2.79,5.34
"18-May-2019",1.79,5.34
"19-May-2019",1.57,5.34
"20-May-2019",1.49,5.34
"21-May-2019",2.94,5.34
"22-May-2019",2.21,5.34
"23-May-2019",3.34,5.34
"24-May-2019",2.39,5.34
"25-May-2019",2.16,5.34
"26-May-2019",2.09,5.34
"27-May-2019",1.52,5.34
"28-May-2019",1.01,5.34
"29-May-2019",1.51,5.34
"30-May-2019",1.79,5.34
"31-May-2019",2.28,5.34
"01-Jun-2019",1.62,0.18
"02-Jun-2019",1.4,0.18
"03-Jun-2019",1.54,0.18
"04-Jun-2019",1.64,0.18
"05-Jun-2019",2.04,0.18
"06-Jun-2019",1.76,0.18
"07-Jun-2019",0.95,0.18
"08-Jun-2019",1.4,0.18
"09-Jun-2019",2.13,0.18
"10-Jun-2019",1.99,0.18
"11-Jun-2019",1.87,0.18
"12-Jun-2019",1.45,0.18
"13-Jun-2019",3.34,0.18
"14-Jun-2019",2.84,0.18
"15-Jun-2019",2.74,0.18
"16-Jun-2019",1.68,0.18
"17-Jun-2019",1.14,0.18
"18-Jun-2019",1.46,0.18
"19-Jun-2019",1.39,0.18
"20-Jun-2019",1.11,0.18
"21-Jun-2019",1.19,0.18
"22-Jun-2019",1.5,0.18
"23-Jun-2019",1.6,0.18
"24-Jun-2019",2.79,0.18
"25-Jun-2019",2.7,0.18
"26-Jun-2019",2.28,0.18
"27-Jun-2019",2.26,0.18
"28-Jun-2019",2.61,0.18
"29-Jun-2019",2.82,0.18
"30-Jun-2019",3.1,0.18
"01-Jul-2019",3.86,0.62
"02-Jul-2019",4.32,0.62
"03-Jul-2019",3.74,0.62
"04-Jul-2019",4.78,0.62
"05-Jul-2019",4.92,0.62
"06-Jul-2019",6.48,0.62
"07-Jul-2019",3.87,0.62
"08-Jul-2019",4.11,0.62
"09-Jul-2019",5.59,0.62
"10-Jul-2019",6.36,0.62
"11-Jul-2019",4.1,0.62
"12-Jul-2019",5.19,0.62
"13-Jul-2019",7.16,0.62
"14-Jul-2019",7.17,0.62
"15-Jul-2019",6.26,0.62
"16-Jul-2019",7.23,0.62
"17-Jul-2019",6.37,0.62
"18-Jul-2019",6,0.62
"19-Jul-2019",6.19,0.62
"20-Jul-2019",7.59,0.62
"21-Jul-2019",8.22,0.62
"22-Jul-2019",8.74,0.62
"23-Jul-2019",7.8,0.62
"24-Jul-2019",9.83,0.62
"25-Jul-2019",8.18,0.62
"26-Jul-2019",8.18,0.62
"27-Jul-2019",8.75,0.62
"28-Jul-2019",7.62,0.62
"29-Jul-2019",7.98,0.62
"30-Jul-2019",7.52,0.62
"31-Jul-2019",8.06,0.62
"01-Aug-2019",9.45,11.35
"02-Aug-2019",9.66,11.35
"03-Aug-2019",7.89,11.35
"04-Aug-2019",7.07,11.35
"05-Aug-2019",9.04,11.35
"06-Aug-2019",8.06,11.35
"07-Aug-2019",8.22,11.35
"08-Aug-2019",6.78,11.35
"09-Aug-2019",9.35,11.35
"10-Aug-2019",7.54,11.35
"11-Aug-2019",6.65,11.35
"12-Aug-2019",7.09,11.35
"13-Aug-2019",6.91,11.35
"14-Aug-2019",5.89,11.35
"15-Aug-2019",6.47,11.35
"16-Aug-2019",6.47,11.35
"17-Aug-2019",4.51,11.35
"18-Aug-2019",4.81,11.35
"19-Aug-2019",5.35,11.35
"20-Aug-2019",5.3,11.35
"21-Aug-2019",5.19,11.35
"22-Aug-2019",6.16,11.35
"23-Aug-2019",4.32,11.35
"24-Aug-2019",4.74,11.35
"25-Aug-2019",3.48,11.35
"26-Aug-2019",3.33,11.35
"27-Aug-2019",5.64,11.35
"28-Aug-2019",4.55,11.35
"29-Aug-2019",5.19,11.35
"30-Aug-2019",4.51,11.35
"31-Aug-2019",4.19,11.35
"01-Sep-2019",4.08,0.7
"02-Sep-2019",4.2,0.7
"03-Sep-2019",4.2,0.7
"04-Sep-2019",4.37,0.7
"05-Sep-2019",2.7,0.7
"06-Sep-2019",2.35,0.7
"07-Sep-2019",3.73,0.7
"08-Sep-2019",4.6,0.7
"09-Sep-2019",5.97,0.7
"10-Sep-2019",3.77,0.7
"11-Sep-2019",3.53,0.7
"12-Sep-2019",4.44,0.7
"13-Sep-2019",3.29,0.7
"14-Sep-2019",2.91,0.7
"15-Sep-2019",2.25,0.7
"16-Sep-2019",2.42,0.7
"17-Sep-2019",2.79,0.7
"18-Sep-2019",3.05,0.7
"19-Sep-2019",3.78,0.7
"20-Sep-2019",2.89,0.7
"21-Sep-2019",2.09,0.7
"22-Sep-2019",3.63,0.7
"23-Sep-2019",3.08,0.7
"24-Sep-2019",4.05,0.7
"25-Sep-2019",5.86,0.7
"26-Sep-2019",3.13,0.7
"27-Sep-2019",2.48,0.7
"28-Sep-2019",1.21,0.7
"29-Sep-2019",0.81,0.7
"30-Sep-2019",1.03,0.7
"01-Oct-2019",1.22,8.44
"02-Oct-2019",0.85,8.44
"03-Oct-2019",1.34,8.44
"04-Oct-2019",1.8,8.44
"05-Oct-2019",1.76,8.44
"06-Oct-2019",1.39,8.44
"07-Oct-2019",1.24,8.44
"08-Oct-2019",1.05,8.44
"09-Oct-2019",1.66,8.44
"10-Oct-2019",1.23,8.44
"11-Oct-2019",1.6,8.44
"12-Oct-2019",1.29,8.44
"13-Oct-2019",1.19,8.44
"14-Oct-2019",1.61,8.44
"15-Oct-2019",0.95,8.44
"16-Oct-2019",0.63,8.44
"17-Oct-2019",0.78,8.44
"18-Oct-2019",2.06,8.44
"19-Oct-2019",1.72,8.44
"20-Oct-2019",0.53,8.44
"21-Oct-2019",0.34,8.44
"22-Oct-2019",0.75,8.44
"23-Oct-2019",0.87,8.44
"24-Oct-2019",0.33,8.44
