Daily rainfall(in mm) trends for Jammu & kashmir from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2020",2.42,0
"02-Jan-2020",2.15,0
"03-Jan-2020",1.83,0
"04-Jan-2020",2.64,0
"05-Jan-2020",2.97,0
"06-Jan-2020",2.78,0
"07-Jan-2020",3.21,0
"08-Jan-2020",3.55,0
"09-Jan-2020",2.89,0
"10-Jan-2020",1.62,0
"11-Jan-2020",1.83,0
"12-Jan-2020",1.85,0
"13-Jan-2020",2.67,0
"14-Jan-2020",1.75,0
"15-Jan-2020",1.69,0
"16-Jan-2020",2.31,0
"17-Jan-2020",1.66,0
"18-Jan-2020",2.86,0
"19-Jan-2020",3.19,0
"20-Jan-2020",3.55,0
"21-Jan-2020",2.56,0
"22-Jan-2020",3.66,0
"23-Jan-2020",2.3,0
"24-Jan-2020",3.7,0
"25-Jan-2020",4.36,0
"26-Jan-2020",5.09,0
"27-Jan-2020",4.41,0
"28-Jan-2020",5.5,0
"29-Jan-2020",3.24,0
"30-Jan-2020",3.58,0
"31-Jan-2020",3.3,0
"01-Feb-2020",3.39,0.1
"02-Feb-2020",2.79,0.1
"03-Feb-2020",3.88,0.1
"04-Feb-2020",4.92,0.1
"05-Feb-2020",3.18,0.1
"06-Feb-2020",2.18,0.1
"07-Feb-2020",3.24,0.1
"08-Feb-2020",4.26,0.1
"09-Feb-2020",3.15,0.1
"10-Feb-2020",1.83,0.1
"11-Feb-2020",2.71,0.1
"12-Feb-2020",2.74,0.1
"13-Feb-2020",5.18,0.1
"14-Feb-2020",3.35,0.1
"15-Feb-2020",3.58,0.1
"16-Feb-2020",2.69,0.1
"17-Feb-2020",3.73,0.1
"18-Feb-2020",4.71,0.1
"19-Feb-2020",4.06,0.1
"20-Feb-2020",7.53,0.1
"21-Feb-2020",4.63,0.1
"22-Feb-2020",3.03,0.1
"23-Feb-2020",1.81,0.1
"24-Feb-2020",3.91,0.1
"25-Feb-2020",7.31,0.1
"26-Feb-2020",4.25,0.1
"27-Feb-2020",4.88,0.1
"28-Feb-2020",5.88,0.1
"29-Feb-2020",0,0.1
"01-Mar-2020",4.46,8.91
"02-Mar-2020",3.32,8.91
"03-Mar-2020",4.48,8.91
"04-Mar-2020",3.51,8.91
"05-Mar-2020",4.49,8.91
"06-Mar-2020",5.5,8.91
"07-Mar-2020",4.03,8.91
"08-Mar-2020",3.4,8.91
"09-Mar-2020",4.29,8.91
"10-Mar-2020",6.28,8.91
"11-Mar-2020",7.91,8.91
"12-Mar-2020",4.25,8.91
"13-Mar-2020",3.37,8.91
"14-Mar-2020",2.14,8.91
"15-Mar-2020",2.83,8.91
"16-Mar-2020",4.12,8.91
"17-Mar-2020",6.49,8.91
"18-Mar-2020",9.76,8.91
"19-Mar-2020",6.22,8.91
"20-Mar-2020",6,8.91
"21-Mar-2020",6.1,8.91
"22-Mar-2020",9.8,8.91
"23-Mar-2020",7.37,8.91
"24-Mar-2020",4.53,8.91
"25-Mar-2020",4.09,8.91
"26-Mar-2020",5.73,8.91
"27-Mar-2020",4.1,8.91
"28-Mar-2020",2.23,8.91
