Monthly rainfall(in mm) trends for Kerala from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jan-2020",11.37,5.82
"Feb-2020",16.92,2.41
"Mar-2020",38.03,39.83
"Apr-2020",121.87,112.62
"May-2020",268.62,181.89
"Jun-2020",677.35,403.72
"Jul-2020",756.48,271.37
"Aug-2020",446.86,590.75
"Sep-2020",259.93,515.45
"Oct-2020",292.06,195.61
"Nov-2020",164.17,116.12
"Dec-2020",43.34,51.24
"Jan-2021",11.37,106.1
"Feb-2021",16.92,11.84
"Mar-2021",38.03,46.68
"Apr-2021",121.87,115.02
"May-2021",268.62,452.97
"Jun-2021",677.35,327.83
"Jul-2021",756.48,470.28
"Aug-2021",446.86,358.98
"Sep-2021",259.93,291.37
"Oct-2021",292.06,530.99
"Nov-2021",164.17,381.3
"Dec-2021",43.34,54.5
"Jan-2022",11.37,9.32
"Feb-2022",16.92,8.88
"Mar-2022",38.03,46.15
"Apr-2022",121.87,171.1
"May-2022",268.62,336.66
"Jun-2022",677.35,252.84
"Jul-2022",756.48,612.39
"Aug-2022",446.86,579.35
"Sep-2022",259.93,234.36
"Oct-2022",292.06,223.14
"Nov-2022",164.17,179.25
"Dec-2022",43.34,85.87
"Jan-2023",0,12.99
"Feb-2023",0,3.86
"Mar-2023",0,46.76
"Apr-2023",0,100.42
"May-2023",0,152.57
"Jun-2023",677.35,205.54
"Jul-2023",756.48,584.98
"Aug-2023",446.86,66.87
"Sep-2023",259.93,400.47
"Oct-2023",292.06,299.39
"Nov-2023",164.17,267.78
"Dec-2023",43.34,107.38
