Daily rainfall(in mm) trends for Kerala from 01-Jan-2019 to 31-Dec-2019

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2019",0.21,0
"02-Jan-2019",0.34,0
"03-Jan-2019",0.62,0
"04-Jan-2019",0.94,0
"05-Jan-2019",0.47,0
"06-Jan-2019",0.46,0
"07-Jan-2019",0.52,0
"08-Jan-2019",0.23,0
"09-Jan-2019",0.25,0
"10-Jan-2019",0.32,0
"11-Jan-2019",0.56,0
"12-Jan-2019",0.34,0
"13-Jan-2019",0.12,0
"14-Jan-2019",0.23,0
"15-Jan-2019",0.14,0
"16-Jan-2019",0.31,0
"17-Jan-2019",0.31,0
"18-Jan-2019",0.33,0
"19-Jan-2019",0.1,0
"20-Jan-2019",0.06,0
"21-Jan-2019",0.06,0
"22-Jan-2019",0.24,0
"23-Jan-2019",0.33,0
"24-Jan-2019",0.88,0
"25-Jan-2019",0.8,0.13
"26-Jan-2019",0.47,0
"27-Jan-2019",0.19,0.18
"28-Jan-2019",0.4,0.6
"29-Jan-2019",0.2,0.16
"30-Jan-2019",0.49,0
"31-Jan-2019",0.46,0
"01-Feb-2019",0.25,0
"02-Feb-2019",0.33,0.05
"03-Feb-2019",0.51,0
"04-Feb-2019",0.27,0
"05-Feb-2019",0.62,0.01
"06-Feb-2019",0.28,0.2
"07-Feb-2019",0.15,0.04
"08-Feb-2019",0.38,0.27
"09-Feb-2019",0.2,0
"10-Feb-2019",0.32,4.64
"11-Feb-2019",0.38,3.59
"12-Feb-2019",0.28,0
"13-Feb-2019",0.64,0
"14-Feb-2019",0.32,0
"15-Feb-2019",0.55,0.14
"16-Feb-2019",0.43,2.85
"17-Feb-2019",0.56,1.16
"18-Feb-2019",0.35,0
"19-Feb-2019",0.63,0.34
"20-Feb-2019",1.62,0.22
"21-Feb-2019",1.39,0
"22-Feb-2019",1.46,0
"23-Feb-2019",1.11,0
"24-Feb-2019",1.31,0
"25-Feb-2019",0.89,0
"26-Feb-2019",0.6,0
"27-Feb-2019",0.61,0.21
"28-Feb-2019",0.48,0.13
"01-Mar-2019",0.37,1.38
"02-Mar-2019",0.5,1.8
"03-Mar-2019",0.82,1.28
"04-Mar-2019",0.78,0
"05-Mar-2019",0.75,0.06
"06-Mar-2019",0.89,0
"07-Mar-2019",1.24,0.09
"08-Mar-2019",0.97,0.5
"09-Mar-2019",0.78,1.06
"10-Mar-2019",0.61,5.65
"11-Mar-2019",0.76,0.43
"12-Mar-2019",0.69,0.23
"13-Mar-2019",1.05,0
"14-Mar-2019",1.07,0
"15-Mar-2019",1.03,0
"16-Mar-2019",1.51,0
"17-Mar-2019",1.36,0
"18-Mar-2019",1.22,0
"19-Mar-2019",1.48,0.44
"20-Mar-2019",0.9,0.57
"21-Mar-2019",1.16,1.71
"22-Mar-2019",1.38,0.09
"23-Mar-2019",1.62,0.12
"24-Mar-2019",1.32,0.68
"25-Mar-2019",1.38,0.02
"26-Mar-2019",1.46,0
"27-Mar-2019",1.81,0.04
"28-Mar-2019",2.24,0.26
"29-Mar-2019",2.24,0.02
"30-Mar-2019",1.81,0
"31-Mar-2019",2.82,1.34
"01-Apr-2019",2.34,0
"02-Apr-2019",2.96,0
"03-Apr-2019",2.89,0.56
"04-Apr-2019",2.79,0.12
"05-Apr-2019",3.02,2.25
"06-Apr-2019",2.98,0.35
"07-Apr-2019",3.15,0.31
"08-Apr-2019",3.66,0.01
"09-Apr-2019",3.42,0.67
"10-Apr-2019",5.29,1.84
"11-Apr-2019",4.39,1.18
"12-Apr-2019",4.5,2.67
"13-Apr-2019",5.4,0.2
"14-Apr-2019",4.25,0
"15-Apr-2019",3.54,0.15
"16-Apr-2019",4.29,0.35
"17-Apr-2019",3.69,2.09
"18-Apr-2019",4,6.07
"19-Apr-2019",3.14,11.34
"20-Apr-2019",4.75,11.78
"21-Apr-2019",4.72,14.83
"22-Apr-2019",3.48,0.78
"23-Apr-2019",5.39,15.64
"24-Apr-2019",5.6,6.39
"25-Apr-2019",5.61,3.57
"26-Apr-2019",4.31,2.74
"27-Apr-2019",3.67,0.21
"28-Apr-2019",3.81,0.61
"29-Apr-2019",5.34,3.11
"30-Apr-2019",5.51,6.67
"01-May-2019",6.71,3.79
"02-May-2019",5.39,2.01
"03-May-2019",5.42,0
"04-May-2019",5.21,0
"05-May-2019",4.77,0
"06-May-2019",5.75,0.03
"07-May-2019",3.86,1.11
"08-May-2019",3.32,0.65
"09-May-2019",3.19,0.89
"10-May-2019",3.99,0.41
"11-May-2019",5.35,0.7
"12-May-2019",6.91,3.11
"13-May-2019",9.23,2.08
"14-May-2019",7.14,0.25
"15-May-2019",7.61,0.48
"16-May-2019",8.85,3.68
"17-May-2019",9.58,0.92
"18-May-2019",10,6.02
"19-May-2019",11.72,1.4
"20-May-2019",12.24,1.3
"21-May-2019",12.2,0.73
"22-May-2019",10.7,1.56
"23-May-2019",11.13,1.24
"24-May-2019",10.99,3.6
"25-May-2019",11.43,6.53
"26-May-2019",9.82,1.67
"27-May-2019",12.49,1.67
"28-May-2019",13.3,0.73
"29-May-2019",15.13,8.25
"30-May-2019",13.42,8.05
"31-May-2019",11.8,2.66
"01-Jun-2019",15.16,6.77
"02-Jun-2019",16.59,0.61
"03-Jun-2019",16.7,4.71
"04-Jun-2019",17.53,0.89
"05-Jun-2019",18.68,1.84
"06-Jun-2019",20.39,19.39
"07-Jun-2019",23.59,3.14
"08-Jun-2019",23.85,6.25
"09-Jun-2019",22.87,4.41
"10-Jun-2019",24.86,26.01
"11-Jun-2019",23.25,22.55
"12-Jun-2019",21.87,20.03
"13-Jun-2019",18.03,15.37
"14-Jun-2019",22.23,14.26
"15-Jun-2019",23,10.8
"16-Jun-2019",20.85,5.65
"17-Jun-2019",21.48,0.9
"18-Jun-2019",24.68,1.37
"19-Jun-2019",20.26,11.99
"20-Jun-2019",21.04,14.28
"21-Jun-2019",21.68,6.27
"22-Jun-2019",22.87,23.47
"23-Jun-2019",24.85,13.57
"24-Jun-2019",25.45,14.77
"25-Jun-2019",26.51,5.02
"26-Jun-2019",27.77,7.38
"27-Jun-2019",29.2,1.28
"28-Jun-2019",26.33,0.61
"29-Jun-2019",26.32,0.59
"30-Jun-2019",29.46,2.89
"01-Jul-2019",28.59,3.03
"02-Jul-2019",27.9,5.84
"03-Jul-2019",30.68,14.92
"04-Jul-2019",31.66,12.86
"05-Jul-2019",30.82,20.03
"06-Jul-2019",29.24,23.34
"07-Jul-2019",28.19,11.65
"08-Jul-2019",24.64,11.88
"09-Jul-2019",23.13,11.47
"10-Jul-2019",25.75,24.23
"11-Jul-2019",27.29,9.85
"12-Jul-2019",25.43,2.95
"13-Jul-2019",23.21,0.44
"14-Jul-2019",22.45,3.06
"15-Jul-2019",22.97,8.03
"16-Jul-2019",23.95,5.95
"17-Jul-2019",23.81,3.66
"18-Jul-2019",22.23,7.37
"19-Jul-2019",22.82,49.16
"20-Jul-2019",23.95,55.84
"21-Jul-2019",25.17,36.27
"22-Jul-2019",22.94,38.76
"23-Jul-2019",25.88,26.38
"24-Jul-2019",24.71,14.61
"25-Jul-2019",22.74,7.23
"26-Jul-2019",23.43,18.61
"27-Jul-2019",21.18,1.84
"28-Jul-2019",20.71,1.28
"29-Jul-2019",18.5,2.74
"30-Jul-2019",16.92,3.76
"31-Jul-2019",15.57,2.18
"01-Aug-2019",16.41,1.13
"02-Aug-2019",17.78,1.21
"03-Aug-2019",17.59,6.35
"04-Aug-2019",16.31,10.36
"05-Aug-2019",16.89,25.57
"06-Aug-2019",18.22,39.21
"07-Aug-2019",17.35,74.65
"08-Aug-2019",15.92,84.89
"09-Aug-2019",15.05,160.67
"10-Aug-2019",16.37,87.32
"11-Aug-2019",16.34,60.56
