Monthly rainfall(in mm) trends for Maharashtra from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jan-2020",5.25,7.48
"Feb-2020",4.55,2.32
"Mar-2020",6.44,17.19
"Apr-2020",7.87,10.13
"May-2020",21.28,9.75
"Jun-2020",198.32,248.34
"Jul-2020",342.49,157.29
"Aug-2020",275.47,391.17
"Sep-2020",185.32,204.28
"Oct-2020",67.37,118.98
"Nov-2020",22.2,2.66
"Dec-2020",6.6,3.66
"Jan-2021",5.25,8.61
"Feb-2021",4.55,6.15
"Mar-2021",6.44,6.61
"Apr-2021",7.87,9.51
"May-2021",21.28,52.95
"Jun-2021",198.32,210.13
"Jul-2021",342.49,342.78
"Aug-2021",275.47,177.15
"Sep-2021",185.32,340.34
"Oct-2021",67.37,86.35
"Nov-2021",22.2,26.86
"Dec-2021",6.6,29.23
"Jan-2022",5.25,9.02
"Feb-2022",4.55,0.26
"Mar-2022",6.44,1.47
"Apr-2022",7.87,3.95
"May-2022",21.28,7.39
"Jun-2022",198.32,141.74
"Jul-2022",342.49,505.87
"Aug-2022",275.47,280.56
"Sep-2022",185.32,268.5
"Oct-2022",67.37,136.25
"Nov-2022",22.2,0.32
"Dec-2022",6.6,1.18
"Jan-2023",0,0.23
"Feb-2023",0,0
"Mar-2023",0,10.08
"Apr-2023",0,32.83
"May-2023",0,26.13
"Jun-2023",198.32,106.59
"Jul-2023",342.49,476.04
"Aug-2023",275.47,115.07
"Sep-2023",185.32,245.81
"Oct-2023",67.37,18.68
"Nov-2023",22.2,33.79
"Dec-2023",6.6,6.43
