Daily rainfall(in mm) trends for Maharashtra from 01-Jan-2019 to 31-Dec-2019

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2019",0.31,0
"02-Jan-2019",0.12,0
"03-Jan-2019",0.07,0
"04-Jan-2019",0.14,0
"05-Jan-2019",0.15,0
"06-Jan-2019",0.15,0
"07-Jan-2019",0.13,0
"08-Jan-2019",0.23,0
"09-Jan-2019",0.25,0
"10-Jan-2019",0.26,0
"11-Jan-2019",0.26,0
"12-Jan-2019",0.19,0
"13-Jan-2019",0.11,0
"14-Jan-2019",0.17,0
"15-Jan-2019",0.17,0
"16-Jan-2019",0.07,0
"17-Jan-2019",0.08,0
"18-Jan-2019",0.23,0
"19-Jan-2019",0.14,0
"20-Jan-2019",0.15,0
"21-Jan-2019",0.19,0
"22-Jan-2019",0.09,0
"23-Jan-2019",0.12,0
"24-Jan-2019",0.08,0
"25-Jan-2019",0.24,0.88
"26-Jan-2019",0.2,1.81
"27-Jan-2019",0.17,0.34
"28-Jan-2019",0.18,0.02
"29-Jan-2019",0.19,0
"30-Jan-2019",0.21,0
"31-Jan-2019",0.21,0
"01-Feb-2019",0.12,0
"02-Feb-2019",0.04,0
"03-Feb-2019",0.09,0
"04-Feb-2019",0.15,0
"05-Feb-2019",0.07,0
"06-Feb-2019",0.21,0
"07-Feb-2019",0.2,0
"08-Feb-2019",0.13,0
"09-Feb-2019",0.1,0
"10-Feb-2019",0.06,0
"11-Feb-2019",0.09,0
"12-Feb-2019",0.14,0
"13-Feb-2019",0.16,0
"14-Feb-2019",0.13,0
"15-Feb-2019",0.22,0
"16-Feb-2019",0.14,0.7
"17-Feb-2019",0.14,0
"18-Feb-2019",0.2,0
"19-Feb-2019",0.33,0
"20-Feb-2019",0.24,0
"21-Feb-2019",0.23,0
"22-Feb-2019",0.31,0
"23-Feb-2019",0.17,0
"24-Feb-2019",0.2,0
"25-Feb-2019",0.23,0
"26-Feb-2019",0.17,0
"27-Feb-2019",0.17,0
"28-Feb-2019",0.1,0.01
"01-Mar-2019",0.14,0
"02-Mar-2019",0.29,0
"03-Mar-2019",0.36,0.11
"04-Mar-2019",0.17,0.27
"05-Mar-2019",0.13,0
"06-Mar-2019",0.07,0
"07-Mar-2019",0.12,0
"08-Mar-2019",0.15,0
"09-Mar-2019",0.18,0
"10-Mar-2019",0.29,0
"11-Mar-2019",0.5,0
"12-Mar-2019",0.19,0.01
"13-Mar-2019",0.18,0
"14-Mar-2019",0.2,0
"15-Mar-2019",0.21,0
"16-Mar-2019",0.18,0
"17-Mar-2019",0.15,0
"18-Mar-2019",0.17,0.07
"19-Mar-2019",0.13,0
"20-Mar-2019",0.2,0
"21-Mar-2019",0.21,0.51
"22-Mar-2019",0.14,0.03
"23-Mar-2019",0.17,0
"24-Mar-2019",0.13,0
"25-Mar-2019",0.19,0.02
"26-Mar-2019",0.29,0.22
"27-Mar-2019",0.28,0
"28-Mar-2019",0.22,0.04
"29-Mar-2019",0.3,0
"30-Mar-2019",0.3,0
"31-Mar-2019",0.23,0.49
"01-Apr-2019",0.19,0.15
"02-Apr-2019",0.23,0
"03-Apr-2019",0.2,0
"04-Apr-2019",0.22,0.04
"05-Apr-2019",0.33,0.59
"06-Apr-2019",0.28,0.37
"07-Apr-2019",0.25,0
"08-Apr-2019",0.17,0
"09-Apr-2019",0.22,0
"10-Apr-2019",0.2,0.02
"11-Apr-2019",0.2,0
"12-Apr-2019",0.25,0.15
"13-Apr-2019",0.34,0.04
"14-Apr-2019",0.27,0.48
"15-Apr-2019",0.38,0.54
"16-Apr-2019",0.36,1.22
"17-Apr-2019",0.33,0.8
"18-Apr-2019",0.44,0
"19-Apr-2019",0.32,0.29
"20-Apr-2019",0.29,0.03
"21-Apr-2019",0.18,0.01
"22-Apr-2019",0.21,0.27
"23-Apr-2019",0.23,0
"24-Apr-2019",0.22,0
"25-Apr-2019",0.27,0
"26-Apr-2019",0.3,0
"27-Apr-2019",0.31,0
"28-Apr-2019",0.28,0.34
"29-Apr-2019",0.17,0.01
"30-Apr-2019",0.26,0.01
"01-May-2019",0.39,0
"02-May-2019",0.44,0.01
"03-May-2019",0.57,0.01
"04-May-2019",0.55,0
"05-May-2019",0.39,0
"06-May-2019",0.24,0
"07-May-2019",0.19,0
"08-May-2019",0.25,0.01
"09-May-2019",0.3,0
"10-May-2019",0.26,0.02
"11-May-2019",0.28,0.01
"12-May-2019",0.42,0
"13-May-2019",0.46,0
"14-May-2019",0.57,0.05
"15-May-2019",0.45,0
"16-May-2019",0.49,0
"17-May-2019",0.6,0
"18-May-2019",0.57,0
"19-May-2019",0.64,0
"20-May-2019",0.74,0
"21-May-2019",0.83,0.01
"22-May-2019",0.88,0.46
"23-May-2019",0.86,0.05
"24-May-2019",1.09,0.17
"25-May-2019",1.54,0.01
"26-May-2019",1.21,0
"27-May-2019",1.05,0.02
"28-May-2019",1.09,0.01
"29-May-2019",1.19,0
"30-May-2019",1.31,0.09
"31-May-2019",1.44,0.01
"01-Jun-2019",2.37,0.37
"02-Jun-2019",2.42,0.05
"03-Jun-2019",2.45,0.1
"04-Jun-2019",3.44,1.17
"05-Jun-2019",4.57,0.23
"06-Jun-2019",4.53,0.72
"07-Jun-2019",4.73,0.52
"08-Jun-2019",3.78,1.91
"09-Jun-2019",3.76,1.59
"10-Jun-2019",3.51,3.58
"11-Jun-2019",4.52,2.16
"12-Jun-2019",5.42,1.38
"13-Jun-2019",6.08,2.58
"14-Jun-2019",5.8,4.97
"15-Jun-2019",6.69,1.99
"16-Jun-2019",6.77,0.91
"17-Jun-2019",7.07,0.99
"18-Jun-2019",6.95,1.27
"19-Jun-2019",6.81,1.77
"20-Jun-2019",8.12,3.83
"21-Jun-2019",8.65,2.21
"22-Jun-2019",9.02,3.6
"23-Jun-2019",8.61,9.05
"24-Jun-2019",8.71,11.83
"25-Jun-2019",9.65,5.96
"26-Jun-2019",11.39,3.73
"27-Jun-2019",11.59,9.28
