Daily rainfall(in mm) trends for Maharashtra from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2020",0.31,0.94
"02-Jan-2020",0.12,1.19
"03-Jan-2020",0.07,3.3
"04-Jan-2020",0.14,0.26
"05-Jan-2020",0.15,0
"06-Jan-2020",0.15,0
"07-Jan-2020",0.13,0
"08-Jan-2020",0.23,0.22
"09-Jan-2020",0.25,1.52
"10-Jan-2020",0.26,0.03
"11-Jan-2020",0.26,0
"12-Jan-2020",0.19,0
"13-Jan-2020",0.11,0
"14-Jan-2020",0.17,0
"15-Jan-2020",0.17,0
"16-Jan-2020",0.07,0
"17-Jan-2020",0.08,0
"18-Jan-2020",0.23,0
"19-Jan-2020",0.14,0
"20-Jan-2020",0.15,0
"21-Jan-2020",0.19,0
"22-Jan-2020",0.09,0
"23-Jan-2020",0.12,0
"24-Jan-2020",0.08,0
"25-Jan-2020",0.24,0
"26-Jan-2020",0.2,0
"27-Jan-2020",0.17,0
"28-Jan-2020",0.18,0.02
"29-Jan-2020",0.19,0
"30-Jan-2020",0.21,0
"31-Jan-2020",0.21,0
"01-Feb-2020",0.12,0
"02-Feb-2020",0.04,0.01
"03-Feb-2020",0.09,0.16
"04-Feb-2020",0.15,0.1
"05-Feb-2020",0.07,0.17
"06-Feb-2020",0.21,0.05
"07-Feb-2020",0.2,0.52
"08-Feb-2020",0.13,0.45
"09-Feb-2020",0.1,0.65
"10-Feb-2020",0.06,0
"11-Feb-2020",0.09,0
"12-Feb-2020",0.14,0
"13-Feb-2020",0.16,0
"14-Feb-2020",0.13,0
"15-Feb-2020",0.22,0
"16-Feb-2020",0.14,0
"17-Feb-2020",0.14,0
"18-Feb-2020",0.2,0
"19-Feb-2020",0.33,0
"20-Feb-2020",0.24,0
"21-Feb-2020",0.23,0
"22-Feb-2020",0.31,0
"23-Feb-2020",0.17,0
"24-Feb-2020",0.2,0
"25-Feb-2020",0.23,0.21
"26-Feb-2020",0.17,0.01
"27-Feb-2020",0.17,0
"28-Feb-2020",0.1,0
"29-Feb-2020",0,0
"01-Mar-2020",0.14,0.32
"02-Mar-2020",0.29,0.94
"03-Mar-2020",0.36,0.01
"04-Mar-2020",0.17,0.29
"05-Mar-2020",0.13,0
"06-Mar-2020",0.07,0.11
"07-Mar-2020",0.12,0.12
"08-Mar-2020",0.15,0.02
"09-Mar-2020",0.18,0.6
"10-Mar-2020",0.29,0.79
"11-Mar-2020",0.5,0.23
"12-Mar-2020",0.19,0.1
"13-Mar-2020",0.18,0.24
"14-Mar-2020",0.2,0.85
"15-Mar-2020",0.21,0.03
"16-Mar-2020",0.18,0
"17-Mar-2020",0.15,0.03
"18-Mar-2020",0.17,1.91
"19-Mar-2020",0.13,0.6
"20-Mar-2020",0.2,0.22
"21-Mar-2020",0.21,0.4
"22-Mar-2020",0.14,0.01
"23-Mar-2020",0.17,0
"24-Mar-2020",0.13,0
"25-Mar-2020",0.19,0.93
"26-Mar-2020",0.29,3.63
"27-Mar-2020",0.28,0.18
"28-Mar-2020",0.22,0.63
"29-Mar-2020",0.3,0.53
"30-Mar-2020",0.3,2.2
"31-Mar-2020",0.23,1.29
"01-Apr-2020",0.19,0.33
"02-Apr-2020",0.23,0
"03-Apr-2020",0.2,0.05
"04-Apr-2020",0.22,0.14
"05-Apr-2020",0.33,0.3
"06-Apr-2020",0.28,0.24
"07-Apr-2020",0.25,0.25
"08-Apr-2020",0.17,0.1
"09-Apr-2020",0.22,0.1
"10-Apr-2020",0.2,0.14
"11-Apr-2020",0.2,0.37
"12-Apr-2020",0.25,0.11
"13-Apr-2020",0.34,0.17
"14-Apr-2020",0.27,0.42
"15-Apr-2020",0.38,0.08
"16-Apr-2020",0.36,0.39
"17-Apr-2020",0.33,0.52
"18-Apr-2020",0.44,0.07
"19-Apr-2020",0.32,3.34
"20-Apr-2020",0.29,0.74
"21-Apr-2020",0.18,0.49
"22-Apr-2020",0.21,0.04
"23-Apr-2020",0.23,0
"24-Apr-2020",0.22,0
"25-Apr-2020",0.27,0.02
"26-Apr-2020",0.3,0
"27-Apr-2020",0.31,0
"28-Apr-2020",0.28,0.29
"29-Apr-2020",0.17,0.23
"30-Apr-2020",0.26,1.19
"01-May-2020",0.39,0.74
"02-May-2020",0.44,0.11
"03-May-2020",0.57,0.05
"04-May-2020",0.55,0
"05-May-2020",0.39,0
"06-May-2020",0.24,0.02
"07-May-2020",0.19,0.28
"08-May-2020",0.25,0.18
"09-May-2020",0.3,0.36
"13-May-2020",0.46,0.27
"14-May-2020",0.57,0.87
"15-May-2020",0.45,2.53
"16-May-2020",0.49,1.38
"17-May-2020",0.6,1.89
"18-May-2020",0.57,0.35
"19-May-2020",0.64,0.06
"20-May-2020",0.74,0.37
"21-May-2020",0.83,0
"22-May-2020",0.88,0
"23-May-2020",0.86,0
"24-May-2020",1.09,0
"25-May-2020",1.54,0
"26-May-2020",1.21,0
"27-May-2020",1.05,0.01
"28-May-2020",1.09,0
"29-May-2020",1.19,0
"30-May-2020",1.31,0.27
"31-May-2020",1.44,0.01
"01-Jun-2020",2.37,8.97
"02-Jun-2020",2.42,5.42
"03-Jun-2020",2.45,12.51
"04-Jun-2020",3.44,26.05
"05-Jun-2020",4.57,5.14
"06-Jun-2020",4.53,3.4
"07-Jun-2020",4.73,2.97
"08-Jun-2020",3.78,3.02
