Monthly rainfall(in mm) trends for Madhya pradesh from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jan-2020",17.73,20.17
"Feb-2020",11.74,9.41
"Mar-2020",8.93,20.76
"Apr-2020",3.92,6.99
"May-2020",7.5,12.61
"Jun-2020",123.48,205.24
"Jul-2020",337.92,108.94
"Aug-2020",348.08,468.74
"Sep-2020",187.43,134.19
"Oct-2020",35.17,16.42
"Nov-2020",12.56,5.14
"Dec-2020",7.68,6.49
"Jan-2021",17.73,3.26
"Feb-2021",11.74,6.67
"Mar-2021",8.93,7.64
"Apr-2021",3.92,1.5
"May-2021",7.5,55.38
"Jun-2021",123.48,110.75
"Jul-2021",337.92,270.28
"Aug-2021",348.08,260.26
"Sep-2021",187.43,240.83
"Oct-2021",35.17,54.7
"Nov-2021",12.56,4.53
"Dec-2021",7.68,13.23
"Jan-2022",17.73,31.56
"Feb-2022",11.74,3.05
"Mar-2022",8.93,1.56
"Apr-2022",3.92,0.1
"May-2022",7.5,8.86
"Jun-2022",123.48,113.35
"Jul-2022",337.92,376.19
"Aug-2022",348.08,446.5
"Sep-2022",187.43,224.52
"Oct-2022",35.17,93.17
"Nov-2022",12.56,0
"Dec-2022",7.68,1.34
"Jan-2023",0,5.28
"Feb-2023",0,0
"Mar-2023",0,22.55
"Apr-2023",0,22.92
"May-2023",0,32.49
"Jun-2023",123.48,149.57
"Jul-2023",337.92,305.08
"Aug-2023",348.08,210.79
"Sep-2023",187.43,279.57
"Oct-2023",35.17,9.66
"Nov-2023",12.56,19.14
"Dec-2023",7.68,18.13
