Daily rainfall(in mm) trends for Madhya pradesh from 01-Jan-2019 to 31-Dec-2019

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2019",0.31,0
"02-Jan-2019",0.45,0
"03-Jan-2019",0.34,0
"04-Jan-2019",0.41,0
"05-Jan-2019",0.52,0
"06-Jan-2019",0.4,0
"07-Jan-2019",0.46,0.04
"08-Jan-2019",0.51,0
"09-Jan-2019",0.69,0
"10-Jan-2019",0.6,0
"11-Jan-2019",0.81,0
"12-Jan-2019",0.39,0
"13-Jan-2019",0.62,0
"14-Jan-2019",0.67,0
"15-Jan-2019",0.63,0
"16-Jan-2019",0.63,0
"17-Jan-2019",0.59,0
"18-Jan-2019",0.44,0
"19-Jan-2019",0.57,0
"20-Jan-2019",0.72,0
"21-Jan-2019",0.51,0
"22-Jan-2019",0.51,0.24
"23-Jan-2019",0.32,0.18
"24-Jan-2019",0.37,0.09
"25-Jan-2019",0.55,4.35
"26-Jan-2019",0.89,2.21
"27-Jan-2019",0.98,0.06
"28-Jan-2019",1.13,0
"29-Jan-2019",0.85,0
"30-Jan-2019",0.44,0
"31-Jan-2019",0.41,0
"01-Feb-2019",0.24,0
"02-Feb-2019",0.17,0
"03-Feb-2019",0.28,0
"04-Feb-2019",0.37,0
"05-Feb-2019",0.45,0
"06-Feb-2019",0.44,0.03
"07-Feb-2019",0.36,0
"08-Feb-2019",0.34,0.86
"09-Feb-2019",0.29,0.14
"10-Feb-2019",0.62,0
"11-Feb-2019",0.23,0
"12-Feb-2019",0.24,0
"13-Feb-2019",0.4,0
"14-Feb-2019",0.55,0.58
"15-Feb-2019",0.46,1.3
"16-Feb-2019",0.49,2.4
"17-Feb-2019",0.46,0
"18-Feb-2019",0.58,0
"19-Feb-2019",0.92,0
"20-Feb-2019",0.57,0
"21-Feb-2019",0.43,0.15
"22-Feb-2019",0.39,0
"23-Feb-2019",0.34,0.05
"24-Feb-2019",0.3,0
"25-Feb-2019",0.48,0.17
"26-Feb-2019",0.33,0
"27-Feb-2019",0.61,0.49
"28-Feb-2019",0.4,0.25
"01-Mar-2019",0.35,0
"02-Mar-2019",0.38,0
"03-Mar-2019",0.47,2.4
"04-Mar-2019",0.35,0.88
"05-Mar-2019",0.25,0.01
"06-Mar-2019",0.14,0
"07-Mar-2019",0.16,0
"08-Mar-2019",0.22,0
"09-Mar-2019",0.24,0
"10-Mar-2019",0.26,0
"11-Mar-2019",0.44,0
"12-Mar-2019",0.39,0
"13-Mar-2019",0.18,0
"14-Mar-2019",0.19,0.76
"15-Mar-2019",0.13,1.14
