Daily rainfall(in mm) trends for Madhya pradesh from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2020",0.31,1.9
"02-Jan-2020",0.45,4.36
"03-Jan-2020",0.34,3.75
"04-Jan-2020",0.41,0
"05-Jan-2020",0.52,0
"06-Jan-2020",0.4,0
"07-Jan-2020",0.46,0
"08-Jan-2020",0.51,1.22
"09-Jan-2020",0.69,3.98
"10-Jan-2020",0.6,0
"11-Jan-2020",0.81,0
"12-Jan-2020",0.39,0
"13-Jan-2020",0.62,0
"14-Jan-2020",0.67,0
"15-Jan-2020",0.63,0.19
"16-Jan-2020",0.63,2.42
"17-Jan-2020",0.59,1.37
"18-Jan-2020",0.44,0
"19-Jan-2020",0.57,0.17
"20-Jan-2020",0.72,0
"21-Jan-2020",0.51,0
"22-Jan-2020",0.51,0.09
"23-Jan-2020",0.32,0.49
"24-Jan-2020",0.37,0
"25-Jan-2020",0.55,0
"26-Jan-2020",0.89,0
"27-Jan-2020",0.98,0
"28-Jan-2020",1.13,0
"29-Jan-2020",0.85,0.12
"30-Jan-2020",0.44,0.1
"31-Jan-2020",0.41,0
"01-Feb-2020",0.24,0
"02-Feb-2020",0.17,0
"03-Feb-2020",0.28,0
"04-Feb-2020",0.37,0.83
"05-Feb-2020",0.45,2.22
"06-Feb-2020",0.44,0
"07-Feb-2020",0.36,0.16
"08-Feb-2020",0.34,0.63
"09-Feb-2020",0.29,0
"10-Feb-2020",0.62,0
"11-Feb-2020",0.23,0
"12-Feb-2020",0.24,0
"13-Feb-2020",0.4,0
"14-Feb-2020",0.55,0
"15-Feb-2020",0.46,0
"16-Feb-2020",0.49,0
"17-Feb-2020",0.46,0
"18-Feb-2020",0.58,0
"19-Feb-2020",0.92,0
"20-Feb-2020",0.57,0
"21-Feb-2020",0.43,0.01
"22-Feb-2020",0.39,0.79
"23-Feb-2020",0.34,0.23
"24-Feb-2020",0.3,2.63
"25-Feb-2020",0.48,1.92
"26-Feb-2020",0.33,0
"27-Feb-2020",0.61,0
"28-Feb-2020",0.4,0
"29-Feb-2020",0,0
"01-Mar-2020",0.35,0.94
"02-Mar-2020",0.38,0.92
"03-Mar-2020",0.47,0.17
"04-Mar-2020",0.35,0.2
"05-Mar-2020",0.25,0.99
"06-Mar-2020",0.14,0.62
"07-Mar-2020",0.16,0.85
"08-Mar-2020",0.22,0
"09-Mar-2020",0.24,0
"10-Mar-2020",0.26,0.15
"11-Mar-2020",0.44,1.73
"12-Mar-2020",0.39,1.06
"13-Mar-2020",0.18,1.78
"14-Mar-2020",0.19,3.31
"15-Mar-2020",0.13,0.34
"16-Mar-2020",0.24,0
"17-Mar-2020",0.13,0
"18-Mar-2020",0.16,0.14
"19-Mar-2020",0.19,0.36
"20-Mar-2020",0.31,0.85
"21-Mar-2020",0.29,0.47
"22-Mar-2020",0.37,0.18
"23-Mar-2020",0.3,0
