Daily rainfall(in mm) trends for Madhya pradesh from 01-Jan-2014 to 31-Dec-2023,,
,,
Dates,NORMAL (mm) ,ACTUAL (mm) 
01-Jan-14,0.31,0.72
02-Jan-14,0.45,0
03-Jan-14,0.34,0.01
04-Jan-14,0.41,0.02
05-Jan-14,0.52,1.21
06-Jan-14,0.4,0.52
07-Jan-14,0.46,0
08-Jan-14,0.51,0
09-Jan-14,0.69,0.09
10-Jan-14,0.6,0.48
11-Jan-14,0.81,1.64
12-Jan-14,0.39,0.1
13-Jan-14,0.62,0
14-Jan-14,0.67,0
15-Jan-14,0.63,0.36
16-Jan-14,0.63,0.4
17-Jan-14,0.59,0.58
18-Jan-14,0.44,7.23
19-Jan-14,0.57,0.93
20-Jan-14,0.72,0
21-Jan-14,0.51,0.19
22-Jan-14,0.51,3.78
23-Jan-14,0.32,6.55
24-Jan-14,0.37,2.76
25-Jan-14,0.55,0.51
26-Jan-14,0.89,0
27-Jan-14,0.98,0
28-Jan-14,1.13,0
29-Jan-14,0.85,0
30-Jan-14,0.44,0
31-Jan-14,0.41,0
01-Feb-14,0.24,0
02-Feb-14,0.17,0
03-Feb-14,0.28,0
04-Feb-14,0.37,0
05-Feb-14,0.45,0
06-Feb-14,0.44,0
07-Feb-14,0.36,0
08-Feb-14,0.34,0
09-Feb-14,0.29,0
10-Feb-14,0.62,0
11-Feb-14,0.23,0
12-Feb-14,0.24,0
13-Feb-14,0.4,0
14-Feb-14,0.55,1.34
15-Feb-14,0.46,1.11
16-Feb-14,0.49,0.57
17-Feb-14,0.46,0.01
18-Feb-14,0.58,0
19-Feb-14,0.92,0
20-Feb-14,0.57,0
21-Feb-14,0.43,0.09
22-Feb-14,0.39,2.61
23-Feb-14,0.34,2.97
24-Feb-14,0.3,1.44
25-Feb-14,0.48,3.32
26-Feb-14,0.33,10.64
27-Feb-14,0.61,9.83
28-Feb-14,0.4,9.49
01-Mar-14,0.35,2.52
02-Mar-14,0.38,2.12
03-Mar-14,0.47,0
04-Mar-14,0.35,0.2
05-Mar-14,0.25,0.07
06-Mar-14,0.14,0.25
07-Mar-14,0.16,0.45
08-Mar-14,0.22,0.06
09-Mar-14,0.24,0.52
10-Mar-14,0.26,0.27
11-Mar-14,0.44,1.83
12-Mar-14,0.39,1.97
13-Mar-14,0.18,1.94
14-Mar-14,0.19,0.19
15-Mar-14,0.13,0.1
16-Mar-14,0.24,0.18
17-Mar-14,0.13,0
18-Mar-14,0.16,0
19-Mar-14,0.19,0
20-Mar-14,0.31,0
21-Mar-14,0.29,0
22-Mar-14,0.37,0
23-Mar-14,0.3,0
24-Mar-14,0.24,0.01
25-Mar-14,0.42,0.38
26-Mar-14,0.48,0.02
27-Mar-14,0.3,0
28-Mar-14,0.3,0
29-Mar-14,0.47,0
30-Mar-14,0.33,0
31-Mar-14,0.24,0
01-Apr-14,0.21,0
02-Apr-14,0.19,0
03-Apr-14,0.18,0
04-Apr-14,0.14,0
05-Apr-14,0.11,0
06-Apr-14,0.18,0
07-Apr-14,0.18,0
08-Apr-14,0.15,0
09-Apr-14,0.09,0
10-Apr-14,0.1,0
11-Apr-14,0.04,0
12-Apr-14,0.07,0
13-Apr-14,0.28,0
14-Apr-14,0.11,0
15-Apr-14,0.14,0.69
16-Apr-14,0.16,0.48
17-Apr-14,0.15,0.16
18-Apr-14,0.19,1.33
19-Apr-14,0.28,1
20-Apr-14,0.18,0.74
21-Apr-14,0.12,0.06
22-Apr-14,0.06,0.08
23-Apr-14,0.07,0.24
24-Apr-14,0.07,0
25-Apr-14,0.1,0
26-Apr-14,0.04,0
27-Apr-14,0.09,0
28-Apr-14,0.07,0
29-Apr-14,0.06,0
30-Apr-14,0.13,0.01
01-May-14,0.12,0.06
02-May-14,0.1,0.01
03-May-14,0.11,0.02
04-May-14,0.19,0.04
05-May-14,0.17,0.15
06-May-14,0.09,0.52
07-May-14,0.07,0.1
08-May-14,0.07,0.13
09-May-14,0.12,0.27
10-May-14,0.15,0
11-May-14,0.09,0
12-May-14,0.12,0.02
13-May-14,0.13,0
14-May-14,0.21,0.28
15-May-14,0.26,0.11
16-May-14,0.21,0
17-May-14,0.13,0.04
18-May-14,0.2,0.11
19-May-14,0.27,0.06
20-May-14,0.19,0
