Monthly rainfall(in mm) trends for Rajasthan from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jan-2020",5.06,5.15
"Feb-2020",4.69,0.22
"Mar-2020",3.9,19.99
"Apr-2020",3.03,4.31
"May-2020",10.36,17.4
"Jun-2020",41.6,47.99
"Jul-2020",154.53,48.2
"Aug-2020",153.16,215.6
"Sep-2020",68.84,71.77
"Oct-2020",9.12,3.37
"Nov-2020",4.53,2.44
"Dec-2020",2.66,0.38
"Jan-2021",5.06,9
"Feb-2021",4.69,0.09
"Mar-2021",3.9,2.17
"Apr-2021",3.03,2.04
"May-2021",10.36,48
"Jun-2021",41.6,43.7
"Jul-2021",154.53,119.7
"Aug-2021",153.16,131.72
"Sep-2021",68.84,172.9
"Oct-2021",9.12,21.78
"Nov-2021",4.53,10.15
"Dec-2021",2.66,5.04
"Jan-2022",5.06,24.72
"Feb-2022",4.69,1.21
"Mar-2022",3.9,2.15
"Apr-2022",3.03,0.19
"May-2022",10.36,5.98
"Jun-2022",41.6,54.11
"Jul-2022",154.53,245.13
"Aug-2022",153.16,211.28
"Sep-2022",68.84,55.57
"Oct-2022",9.12,33.21
"Nov-2022",4.53,1.1
"Dec-2022",2.66,0
"Jan-2023",0,12.71
"Feb-2023",0,0
"Mar-2023",0,18.34
"Apr-2023",0,13.62
"May-2023",0,61.61
"Jun-2023",41.6,149.59
"Jul-2023",154.53,224.89
"Aug-2023",153.16,31.42
"Sep-2023",68.84,82.51
"Oct-2023",9.12,8.43
"Nov-2023",4.53,9.45
"Dec-2023",2.66,5.12
