Daily rainfall(in mm) trends for Rajasthan from 01-Jan-2019 to 31-Dec-2019

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2019",0.15,0
"02-Jan-2019",0.15,0
"03-Jan-2019",0.16,0
"04-Jan-2019",0.15,0
"05-Jan-2019",0.28,0
"06-Jan-2019",0.16,0.23
"07-Jan-2019",0.19,0
"08-Jan-2019",0.33,0
"09-Jan-2019",0.47,0
"10-Jan-2019",0.18,0
"11-Jan-2019",0.05,0
"12-Jan-2019",0.08,0.39
"13-Jan-2019",0.03,0.7
"14-Jan-2019",0.07,0
"15-Jan-2019",0.11,0
"16-Jan-2019",0.13,0
"17-Jan-2019",0.19,0
"18-Jan-2019",0.15,0
"19-Jan-2019",0.23,0
"20-Jan-2019",0.27,0
"21-Jan-2019",0.06,0.36
"22-Jan-2019",0.04,2.28
"23-Jan-2019",0.08,0
"24-Jan-2019",0.29,0.01
"25-Jan-2019",0.16,2.04
"26-Jan-2019",0.12,0.03
"27-Jan-2019",0.08,0
"28-Jan-2019",0.13,0
"29-Jan-2019",0.26,0
"30-Jan-2019",0.08,0
"31-Jan-2019",0.2,0.15
"01-Feb-2019",0.17,0.13
"02-Feb-2019",0.05,0
"03-Feb-2019",0.08,0
"04-Feb-2019",0.21,0
"05-Feb-2019",0.14,0
"06-Feb-2019",0.01,0.11
"07-Feb-2019",0.07,0
"08-Feb-2019",0.02,0.17
"09-Feb-2019",0.08,0
"10-Feb-2019",0.25,0
"11-Feb-2019",0.03,0
"12-Feb-2019",0.07,0
"13-Feb-2019",0.22,0
"14-Feb-2019",0.09,0.99
"15-Feb-2019",0.25,0
"16-Feb-2019",0.4,0
"17-Feb-2019",0.25,0
"18-Feb-2019",0.25,0.01
"19-Feb-2019",0.59,0.03
"20-Feb-2019",0.26,0.23
"21-Feb-2019",0.08,0.49
"22-Feb-2019",0.08,0
"23-Feb-2019",0.12,0
"24-Feb-2019",0.16,0
"25-Feb-2019",0.17,0
"26-Feb-2019",0.12,0.07
"27-Feb-2019",0.2,0.22
"28-Feb-2019",0.27,0.21
"01-Mar-2019",0.18,0
"02-Mar-2019",0.07,0.14
"03-Mar-2019",0.03,0.45
"04-Mar-2019",0.09,0
"05-Mar-2019",0.12,0.05
"06-Mar-2019",0.11,0
"07-Mar-2019",0.03,0
"08-Mar-2019",0.07,0.1
"09-Mar-2019",0.06,0.01
"10-Mar-2019",0.09,0
"11-Mar-2019",0.17,0.23
"12-Mar-2019",0.14,0
"13-Mar-2019",0.07,0.02
"14-Mar-2019",0.06,0.09
"15-Mar-2019",0.08,0.19
"16-Mar-2019",0.05,0
"17-Mar-2019",0.05,0
"18-Mar-2019",0.05,0
"19-Mar-2019",0.06,0
"20-Mar-2019",0.1,0
"21-Mar-2019",0.18,0
"22-Mar-2019",0.25,0
"23-Mar-2019",0.15,0
"24-Mar-2019",0.24,0
"25-Mar-2019",0.6,0
"26-Mar-2019",0.41,0.04
"27-Mar-2019",0.12,0
"28-Mar-2019",0.07,0
"29-Mar-2019",0.05,0
"30-Mar-2019",0.1,0
"31-Mar-2019",0.07,0.01
"01-Apr-2019",0.09,0
"02-Apr-2019",0.18,0
"03-Apr-2019",0.19,0
"04-Apr-2019",0.03,0
"05-Apr-2019",0.03,0
"06-Apr-2019",0.02,0.02
"07-Apr-2019",0.04,0
"08-Apr-2019",0.02,0.27
"09-Apr-2019",0.02,0.01
"10-Apr-2019",0.07,0
"11-Apr-2019",0.02,0.01
"12-Apr-2019",0.11,0.11
"13-Apr-2019",0.08,0
"14-Apr-2019",0.3,0
"15-Apr-2019",0.26,0
"16-Apr-2019",0.14,1.3
"17-Apr-2019",0.1,7.68
"18-Apr-2019",0.14,1.98
"19-Apr-2019",0.1,0
"20-Apr-2019",0.08,0
"21-Apr-2019",0.03,0
"22-Apr-2019",0.03,0
"23-Apr-2019",0.04,0
"24-Apr-2019",0.1,0
"25-Apr-2019",0.1,0
"26-Apr-2019",0.28,0
"27-Apr-2019",0.09,0
"28-Apr-2019",0.21,0
"29-Apr-2019",0.06,0
"30-Apr-2019",0.05,0
"01-May-2019",0.11,0
"02-May-2019",0.14,0
"03-May-2019",0.11,0.02
"04-May-2019",0.07,0.2
"05-May-2019",0.08,0.08
"06-May-2019",0.09,0
"07-May-2019",0.27,0
"08-May-2019",0.27,0
"09-May-2019",0.46,0
"10-May-2019",0.25,0
"11-May-2019",0.37,2.24
"12-May-2019",0.46,1.17
"13-May-2019",0.29,1.6
"14-May-2019",0.35,0.81
"15-May-2019",0.12,0.94
"16-May-2019",0.24,1.13
"17-May-2019",0.35,3.19
"18-May-2019",0.23,2.5
"19-May-2019",0.36,0.06
"20-May-2019",0.26,0.13
"21-May-2019",0.49,0.01
"22-May-2019",0.39,0.09
"23-May-2019",0.43,0.07
"24-May-2019",0.21,0.9
"25-May-2019",0.26,0.07
"26-May-2019",0.54,0
"27-May-2019",0.69,0
"28-May-2019",0.58,0
"29-May-2019",0.68,0
"30-May-2019",0.48,0
"31-May-2019",0.73,0.02
"01-Jun-2019",0.54,0.08
"02-Jun-2019",0.69,0.09
"03-Jun-2019",0.62,0
