Daily rainfall(in mm) trends for Rajasthan from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2020",0.15,0
"02-Jan-2020",0.15,0
"03-Jan-2020",0.16,0
"04-Jan-2020",0.15,0
"05-Jan-2020",0.28,0
"06-Jan-2020",0.16,0.06
"07-Jan-2020",0.19,0.45
"08-Jan-2020",0.33,0.2
"09-Jan-2020",0.47,0.01
"10-Jan-2020",0.18,0
"11-Jan-2020",0.05,0
"12-Jan-2020",0.08,0
"13-Jan-2020",0.03,1.65
"14-Jan-2020",0.07,0.84
"15-Jan-2020",0.11,0
"16-Jan-2020",0.13,0.6
"17-Jan-2020",0.19,0.34
"18-Jan-2020",0.15,0
"19-Jan-2020",0.23,0
"20-Jan-2020",0.27,0
"21-Jan-2020",0.06,0
"22-Jan-2020",0.04,0
"23-Jan-2020",0.08,0
"24-Jan-2020",0.29,0
"25-Jan-2020",0.16,0
"26-Jan-2020",0.12,0
"27-Jan-2020",0.08,0.1
"28-Jan-2020",0.13,0.84
"29-Jan-2020",0.26,0.05
"30-Jan-2020",0.08,0
"31-Jan-2020",0.2,0
"01-Feb-2020",0.17,0
"02-Feb-2020",0.05,0
"03-Feb-2020",0.08,0
"04-Feb-2020",0.21,0
"05-Feb-2020",0.14,0
"06-Feb-2020",0.01,0
"07-Feb-2020",0.07,0
"08-Feb-2020",0.02,0
"09-Feb-2020",0.08,0
"10-Feb-2020",0.25,0
"11-Feb-2020",0.03,0
"12-Feb-2020",0.07,0
"13-Feb-2020",0.22,0
"14-Feb-2020",0.09,0
"15-Feb-2020",0.25,0
"16-Feb-2020",0.4,0
"17-Feb-2020",0.25,0
"18-Feb-2020",0.25,0
"19-Feb-2020",0.59,0
"20-Feb-2020",0.26,0
"21-Feb-2020",0.08,0.07
"22-Feb-2020",0.08,0.04
"23-Feb-2020",0.12,0
"24-Feb-2020",0.16,0
"25-Feb-2020",0.17,0.1
"26-Feb-2020",0.12,0
"27-Feb-2020",0.2,0
"28-Feb-2020",0.27,0
"29-Feb-2020",0,0.01
"01-Mar-2020",0.18,0.73
"02-Mar-2020",0.07,0
"03-Mar-2020",0.03,0
"04-Mar-2020",0.09,0.12
