Monthly rainfall(in mm) trends for Tamilnadu from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jan-2020",21.97,10.42
"Feb-2020",14.81,1.19
"Mar-2020",19.93,2.82
"Apr-2020",42.91,30.59
"May-2020",64.66,34.97
"Jun-2020",42.1,55.76
"Jul-2020",71.67,72.55
"Aug-2020",90.91,85.05
"Sep-2020",111.67,136.59
"Oct-2020",182.17,106.54
"Nov-2020",170.62,224.47
"Dec-2020",88.52,196.05
"Jan-2021",21.97,152.98
"Feb-2021",14.81,13.75
"Mar-2021",19.93,6.29
"Apr-2021",42.91,34.81
"May-2021",64.66,68.86
"Jun-2021",42.1,49.02
"Jul-2021",71.67,112.57
"Aug-2021",90.91,92.79
"Sep-2021",111.67,120.84
"Oct-2021",182.17,233.6
"Nov-2021",170.62,463.21
"Dec-2021",88.52,60.14
"Jan-2022",21.97,37.76
"Feb-2022",14.81,9.4
"Mar-2022",19.93,11.36
"Apr-2022",42.91,63.24
"May-2022",64.66,83.78
"Jun-2022",42.1,73.97
"Jul-2022",71.67,123.81
"Aug-2022",90.91,163.86
"Sep-2022",111.67,86.31
"Oct-2022",182.17,167.53
"Nov-2022",170.62,193.68
"Dec-2022",88.52,108.4
"Jan-2023",0,5.03
"Feb-2023",0,17.81
"Mar-2023",0,31.68
"Apr-2023",0,38.59
"May-2023",0,118.77
"Jun-2023",42.1,50.58
"Jul-2023",71.67,64.77
"Aug-2023",90.91,87.97
"Sep-2023",111.67,147.47
"Oct-2023",182.17,92.74
"Nov-2023",170.62,249.41
"Dec-2023",88.52,129.16
