Daily rainfall(in mm) trends for Tamilnadu from 01-Jan-2019 to 31-Dec-2019

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2019",1.21,0
"02-Jan-2019",0.74,0
"03-Jan-2019",1.38,0
"04-Jan-2019",0.92,0
"05-Jan-2019",0.82,0
"06-Jan-2019",0.92,0
"07-Jan-2019",1.53,0
"08-Jan-2019",1.12,0
"09-Jan-2019",1.23,0
"10-Jan-2019",1.16,0
"11-Jan-2019",1.75,0
"12-Jan-2019",1.29,0
"13-Jan-2019",0.54,0
"14-Jan-2019",0.55,0
"15-Jan-2019",0.66,0
"16-Jan-2019",0.84,0
"17-Jan-2019",0.64,0
"18-Jan-2019",0.7,0
"19-Jan-2019",0.22,0
"20-Jan-2019",0.29,0
"21-Jan-2019",0.43,0
"22-Jan-2019",0.12,0
"23-Jan-2019",0.2,0
"24-Jan-2019",0.35,0
"25-Jan-2019",0.32,0
"26-Jan-2019",0.12,0.07
"27-Jan-2019",0.17,0.09
"28-Jan-2019",0.37,0.51
"29-Jan-2019",0.48,1.31
"30-Jan-2019",0.55,0.06
"31-Jan-2019",0.35,0
"01-Feb-2019",0.27,0
"02-Feb-2019",0.46,0
"03-Feb-2019",0.45,0
"04-Feb-2019",0.17,0
"05-Feb-2019",0.24,0.15
"06-Feb-2019",0.52,0
"07-Feb-2019",0.38,0
"08-Feb-2019",0.25,0.01
"09-Feb-2019",0.22,0.08
"10-Feb-2019",0.07,0.84
"11-Feb-2019",0.07,0.15
"12-Feb-2019",0.31,0
"13-Feb-2019",0.86,0
"14-Feb-2019",0.62,0
"15-Feb-2019",0.41,0.01
"16-Feb-2019",0.36,0.33
"17-Feb-2019",0.51,0.16
"18-Feb-2019",0.8,0.34
"19-Feb-2019",1.01,0.21
"20-Feb-2019",1.96,0.01
"21-Feb-2019",1.12,0
"22-Feb-2019",1.06,0
"23-Feb-2019",0.54,0
"24-Feb-2019",0.6,0
"25-Feb-2019",0.47,0
"26-Feb-2019",0.33,0
"27-Feb-2019",0.26,0.04
"28-Feb-2019",0.47,0.1
"01-Mar-2019",0.43,0.57
"02-Mar-2019",0.53,1.02
"03-Mar-2019",0.64,0
"04-Mar-2019",0.95,0
"05-Mar-2019",1.08,0
"06-Mar-2019",1.22,0
"07-Mar-2019",0.93,0.13
"08-Mar-2019",0.7,0.01
"09-Mar-2019",0.34,0.43
"10-Mar-2019",0.35,0.6
"11-Mar-2019",0.63,0
"12-Mar-2019",0.65,0
"13-Mar-2019",0.74,0
"14-Mar-2019",0.61,0
"15-Mar-2019",0.53,0
"16-Mar-2019",0.55,0
"17-Mar-2019",0.48,0
"18-Mar-2019",0.49,0
"19-Mar-2019",0.26,0
"20-Mar-2019",0.32,0
"21-Mar-2019",0.58,0
"22-Mar-2019",0.65,0
"23-Mar-2019",0.41,0
"24-Mar-2019",0.62,0
"25-Mar-2019",0.43,0
"26-Mar-2019",0.76,0
"27-Mar-2019",1.07,0
"28-Mar-2019",0.83,0
"29-Mar-2019",0.74,0
"30-Mar-2019",0.55,0
"31-Mar-2019",0.86,0.06
"01-Apr-2019",1.29,0
"02-Apr-2019",1.41,0
"03-Apr-2019",1.22,0
"04-Apr-2019",0.91,0
"05-Apr-2019",1.23,0.01
"06-Apr-2019",1.61,0
"07-Apr-2019",0.96,0
"08-Apr-2019",0.86,0
"09-Apr-2019",0.93,0
"10-Apr-2019",1.33,0.04
"11-Apr-2019",1.73,0.15
"12-Apr-2019",2.15,0.05
"13-Apr-2019",1.74,0
"14-Apr-2019",1.42,0
"15-Apr-2019",1.24,0
"16-Apr-2019",1.01,0.03
"17-Apr-2019",1.39,0.29
"18-Apr-2019",1.05,0.81
"19-Apr-2019",1.18,0.8
"20-Apr-2019",2.03,1.65
"21-Apr-2019",2.01,4.94
"22-Apr-2019",1.47,0.05
"23-Apr-2019",1.8,5.68
"24-Apr-2019",1.9,0.87
"25-Apr-2019",2.29,0.21
"26-Apr-2019",1.1,0.06
"27-Apr-2019",1.38,0.01
"28-Apr-2019",1.53,0.02
"29-Apr-2019",1.39,0
"30-Apr-2019",1.35,0.57
"01-May-2019",2.26,0.74
"02-May-2019",1.77,0.39
"03-May-2019",1.49,0
"04-May-2019",1.67,0.02
"05-May-2019",1.43,0.32
"06-May-2019",1.94,1.3
"07-May-2019",1.64,0.51
"08-May-2019",1.14,2.18
"09-May-2019",1.59,2.17
"10-May-2019",1.65,1.42
"11-May-2019",2.1,0.28
"12-May-2019",2.17,0.63
"13-May-2019",3.32,0.36
"14-May-2019",2.06,0.72
"15-May-2019",2.25,1.84
"16-May-2019",2.81,1.11
"17-May-2019",3.36,0.05
"18-May-2019",4.04,1.05
"19-May-2019",2.87,0.2
"20-May-2019",2.34,0.03
"21-May-2019",2.2,0.01
"22-May-2019",2.13,0.04
"23-May-2019",1.59,0.04
"24-May-2019",2.23,0.45
"25-May-2019",1.78,0.43
"26-May-2019",1.95,0.42
"27-May-2019",1.5,0.44
"28-May-2019",2.01,0.01
"29-May-2019",1.79,3.24
"30-May-2019",1.58,1.53
"31-May-2019",1.99,2.8
"01-Jun-2019",1.75,0.42
"02-Jun-2019",1.92,0.58
"03-Jun-2019",2.03,2.09
"04-Jun-2019",1.54,0.83
"05-Jun-2019",1.31,5.87
"06-Jun-2019",1.57,3.83
"07-Jun-2019",1.54,0.03
"08-Jun-2019",1.47,1.03
"09-Jun-2019",1.16,0.18
"10-Jun-2019",1.16,1.18
"11-Jun-2019",1.17,1.52
"12-Jun-2019",1.06,0.52
"13-Jun-2019",1.44,0.1
"14-Jun-2019",1.91,2.03
"15-Jun-2019",1.47,0.15
"16-Jun-2019",1.19,0.27
"17-Jun-2019",1.19,0.07
"18-Jun-2019",1.56,0.06
"19-Jun-2019",1.05,0.06
"20-Jun-2019",1,0.15
"21-Jun-2019",1.33,0.31
"22-Jun-2019",1.61,0.55
"23-Jun-2019",1.72,0.98
"24-Jun-2019",1.47,1.09
"25-Jun-2019",1.47,2.25
"26-Jun-2019",1.13,1.36
"27-Jun-2019",1.27,1.8
"28-Jun-2019",1.11,0.21
"29-Jun-2019",1.31,0.02
"30-Jun-2019",1.19,0.01
"01-Jul-2019",1.35,0
"02-Jul-2019",1.56,0.01
"03-Jul-2019",1.98,0.26
"04-Jul-2019",1.88,0.12
"05-Jul-2019",2.08,0.28
"06-Jul-2019",2.59,0.43
"07-Jul-2019",2.87,0.2
"08-Jul-2019",1.76,0.21
"09-Jul-2019",2.41,0.12
"10-Jul-2019",2.41,4.14
"11-Jul-2019",2.08,1.38
"12-Jul-2019",2.84,0.92
"13-Jul-2019",1.96,7.93
"14-Jul-2019",1.81,2.12
"15-Jul-2019",2.23,5.96
"16-Jul-2019",2.4,4.58
"17-Jul-2019",2.24,0.38
"18-Jul-2019",2.3,1.33
"19-Jul-2019",2.78,5.37
"20-Jul-2019",1.94,4.28
"21-Jul-2019",2.64,0.82
"22-Jul-2019",2.23,1.18
"23-Jul-2019",3.12,1.26
"24-Jul-2019",3.72,2.34
"25-Jul-2019",3.37,3.77
"26-Jul-2019",2.69,8.47
"27-Jul-2019",1.8,0.16
"28-Jul-2019",2.56,0.21
"29-Jul-2019",2.05,1.64
"30-Jul-2019",1.81,1.75
"31-Jul-2019",2.18,0.06
