Daily rainfall(in mm) trends for Tamilnadu from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2020",1.21,1.42
"02-Jan-2020",0.74,2.83
"03-Jan-2020",1.38,0.16
"04-Jan-2020",0.92,0.02
"05-Jan-2020",0.82,0.48
"06-Jan-2020",0.92,0.61
"07-Jan-2020",1.53,1.05
"08-Jan-2020",1.12,0.33
"09-Jan-2020",1.23,0
"10-Jan-2020",1.16,0
"11-Jan-2020",1.75,0
"12-Jan-2020",1.29,0
"13-Jan-2020",0.54,0
"14-Jan-2020",0.55,0
"15-Jan-2020",0.66,0
"16-Jan-2020",0.84,0
"17-Jan-2020",0.64,0.03
"18-Jan-2020",0.7,0.36
"19-Jan-2020",0.22,2.62
"20-Jan-2020",0.29,0.43
"21-Jan-2020",0.43,0
"22-Jan-2020",0.12,0.05
"23-Jan-2020",0.2,0
"24-Jan-2020",0.35,0.02
"25-Jan-2020",0.32,0
"26-Jan-2020",0.12,0
"27-Jan-2020",0.17,0
"28-Jan-2020",0.37,0
"29-Jan-2020",0.48,0
"30-Jan-2020",0.55,0
"31-Jan-2020",0.35,0
"01-Feb-2020",0.27,0
"02-Feb-2020",0.46,0
"03-Feb-2020",0.45,0
"04-Feb-2020",0.17,0
"05-Feb-2020",0.24,0.01
"06-Feb-2020",0.52,0
"07-Feb-2020",0.38,0
"08-Feb-2020",0.25,0
"09-Feb-2020",0.22,0
"10-Feb-2020",0.07,0.01
"11-Feb-2020",0.07,0.02
"12-Feb-2020",0.31,0.08
"13-Feb-2020",0.86,0.01
"14-Feb-2020",0.62,0
"15-Feb-2020",0.41,0
"16-Feb-2020",0.36,0
"17-Feb-2020",0.51,0
"18-Feb-2020",0.8,0
"19-Feb-2020",1.01,0
"20-Feb-2020",1.96,0
"21-Feb-2020",1.12,0
"22-Feb-2020",1.06,0.97
"23-Feb-2020",0.54,0.06
"24-Feb-2020",0.6,0
"25-Feb-2020",0.47,0
"26-Feb-2020",0.33,0
"27-Feb-2020",0.26,0
"28-Feb-2020",0.47,0.01
"29-Feb-2020",0,0.02
"01-Mar-2020",0.43,0
"02-Mar-2020",0.53,0.02
"03-Mar-2020",0.64,0.21
"04-Mar-2020",0.95,0.11
"05-Mar-2020",1.08,0.14
"06-Mar-2020",1.22,0
"07-Mar-2020",0.93,0.3
"08-Mar-2020",0.7,0.01
"09-Mar-2020",0.34,0.01
"10-Mar-2020",0.35,0.28
"11-Mar-2020",0.63,0.01
"12-Mar-2020",0.65,0
"13-Mar-2020",0.74,0
"14-Mar-2020",0.61,0
"15-Mar-2020",0.53,0
"16-Mar-2020",0.55,0
"17-Mar-2020",0.48,0
"18-Mar-2020",0.49,0
"19-Mar-2020",0.26,0
"20-Mar-2020",0.32,0.02
"21-Mar-2020",0.58,0.28
"22-Mar-2020",0.65,1.16
"23-Mar-2020",0.41,0.13
"24-Mar-2020",0.62,0.13
"25-Mar-2020",0.43,0
"26-Mar-2020",0.76,0
"27-Mar-2020",1.07,0
"28-Mar-2020",0.83,0
"29-Mar-2020",0.74,0
"30-Mar-2020",0.55,0
"31-Mar-2020",0.86,0
"01-Apr-2020",1.29,0
"02-Apr-2020",1.41,0
"03-Apr-2020",1.22,0
"04-Apr-2020",0.91,0
"05-Apr-2020",1.23,0.44
"06-Apr-2020",1.61,1.68
"07-Apr-2020",0.96,0.62
"08-Apr-2020",0.86,2.24
"09-Apr-2020",0.93,1.79
"10-Apr-2020",1.33,7.88
"11-Apr-2020",1.73,0.38
"12-Apr-2020",2.15,0.01
"13-Apr-2020",1.74,0.02
"14-Apr-2020",1.42,0
"15-Apr-2020",1.24,0.17
"16-Apr-2020",1.01,0.15
"17-Apr-2020",1.39,0.12
"18-Apr-2020",1.05,0.01
"19-Apr-2020",1.18,0.97
"20-Apr-2020",2.03,0.83
"21-Apr-2020",2.01,0.24
"22-Apr-2020",1.47,0.09
"23-Apr-2020",1.8,0.17
"24-Apr-2020",1.9,0.65
"25-Apr-2020",2.29,0.47
"26-Apr-2020",1.1,2.37
"27-Apr-2020",1.38,2.14
"28-Apr-2020",1.53,1.03
"29-Apr-2020",1.39,4.12
"30-Apr-2020",1.35,1.99
"01-May-2020",2.26,3.14
"02-May-2020",1.77,0.37
"03-May-2020",1.49,0.52
"04-May-2020",1.67,0.03
"05-May-2020",1.43,0.04
"06-May-2020",1.94,0.01
"07-May-2020",1.64,0.42
"08-May-2020",1.14,1.12
"09-May-2020",1.59,0.72
"13-May-2020",3.32,2.69
"14-May-2020",2.06,0.49
"15-May-2020",2.25,0.62
"16-May-2020",2.81,1.1
"17-May-2020",3.36,0.17
"18-May-2020",4.04,4.12
"19-May-2020",2.87,1.2
"20-May-2020",2.34,0.04
"21-May-2020",2.2,0.61
"22-May-2020",2.13,0.97
"23-May-2020",1.59,1.01
"24-May-2020",2.23,0.15
"25-May-2020",1.78,0.84
"26-May-2020",1.95,1.17
"27-May-2020",1.5,0.34
"28-May-2020",2.01,1.54
"29-May-2020",1.79,10.61
"30-May-2020",1.58,0.33
"31-May-2020",1.99,0.61
"01-Jun-2020",1.75,0.93
"02-Jun-2020",1.92,1.65
"03-Jun-2020",2.03,0.36
"04-Jun-2020",1.54,0.23
"05-Jun-2020",1.31,0.4
"06-Jun-2020",1.57,1.34
"07-Jun-2020",1.54,2.25
"08-Jun-2020",1.47,0.44
"09-Jun-2020",1.16,0.01
"10-Jun-2020",1.16,0.4
"11-Jun-2020",1.17,2.14
"12-Jun-2020",1.06,3.65
"13-Jun-2020",1.44,0.4
"14-Jun-2020",1.91,0.26
"15-Jun-2020",1.47,0.26
"16-Jun-2020",1.19,0.18
"17-Jun-2020",1.19,0.36
"18-Jun-2020",1.56,1.31
"19-Jun-2020",1.05,0.31
"20-Jun-2020",1,0.36
"21-Jun-2020",1.33,0.6
"22-Jun-2020",1.61,2.08
"23-Jun-2020",1.72,1.53
"24-Jun-2020",1.47,2.92
