Monthly rainfall(in mm) trends for Uttar pradesh from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"Jan-2020",19.66,31.37
"Feb-2020",14.89,12.7
"Mar-2020",10.37,41.56
"Apr-2020",5.64,15.38
"May-2020",15.77,30.74
"Jun-2020",91.01,151.62
"Jul-2020",292.91,159.28
"Aug-2020",295.01,204.01
"Sep-2020",177.86,98.89
"Oct-2020",47.22,1.37
"Nov-2020",4.01,5.52
"Dec-2020",6.46,1.17
"Jan-2021",19.66,5.25
"Feb-2021",14.89,1.94
"Mar-2021",10.37,0.65
"Apr-2021",5.64,3.62
"May-2021",15.77,103.91
"Jun-2021",91.01,150.42
"Jul-2021",292.91,228.45
"Aug-2021",295.01,233.29
"Sep-2021",177.86,172.19
"Oct-2021",47.22,100.7
"Nov-2021",4.01,0.12
"Dec-2021",6.46,5.6
"Jan-2022",19.66,42.84
"Feb-2022",14.89,17.59
"Mar-2022",10.37,0.03
"Apr-2022",5.64,0.33
"May-2022",15.77,26.69
"Jun-2022",91.01,50.96
"Jul-2022",292.91,152.72
"Aug-2022",295.01,161.47
"Sep-2022",177.86,222.81
"Oct-2022",47.22,157.79
"Nov-2022",4.01,0.12
"Dec-2022",6.46,0.1
"Jan-2023",0,7.37
"Feb-2023",0,0.04
"Mar-2023",0,25.13
"Apr-2023",0,12.25
"May-2023",0,37.45
"Jun-2023",91.01,78.94
"Jul-2023",292.91,227.33
"Aug-2023",295.01,215.65
"Sep-2023",177.86,127.69
"Oct-2023",47.22,30.15
"Nov-2023",4.01,2.98
"Dec-2023",6.46,6.13
