Daily rainfall(in mm) trends for Uttar pradesh from 01-Jan-2019 to 31-Dec-2019

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2019",0.72,0
"02-Jan-2019",0.59,0
"03-Jan-2019",0.37,0
"04-Jan-2019",0.38,0
"05-Jan-2019",0.98,0
"06-Jan-2019",0.64,0
"07-Jan-2019",0.22,0.55
"08-Jan-2019",0.62,0.06
"09-Jan-2019",0.85,0
"10-Jan-2019",0.8,0
"11-Jan-2019",0.23,0
"12-Jan-2019",0.35,0
"13-Jan-2019",0.24,0
"14-Jan-2019",0.24,0
"15-Jan-2019",0.54,0
"16-Jan-2019",1.01,0
"17-Jan-2019",0.82,0
"18-Jan-2019",0.73,0
"19-Jan-2019",0.36,0
"20-Jan-2019",0.47,0
"21-Jan-2019",0.86,0
"22-Jan-2019",0.51,3.85
"23-Jan-2019",0.35,2.18
"24-Jan-2019",0.59,0.64
"25-Jan-2019",0.89,0.94
"26-Jan-2019",1.52,4.87
"27-Jan-2019",0.73,0.13
"28-Jan-2019",0.47,0
"29-Jan-2019",1.45,0.01
"30-Jan-2019",0.52,0
"31-Jan-2019",0.6,0
"01-Feb-2019",0.45,0.05
"02-Feb-2019",0.42,0
"03-Feb-2019",0.33,0
"04-Feb-2019",0.55,0
"05-Feb-2019",1.02,0
"06-Feb-2019",0.65,0.46
"07-Feb-2019",0.34,0
"08-Feb-2019",0.49,4.09
"09-Feb-2019",0.23,2.21
"10-Feb-2019",0.6,0
"11-Feb-2019",0.3,0
"12-Feb-2019",0.19,0
"13-Feb-2019",0.53,0
"14-Feb-2019",0.55,0.14
"15-Feb-2019",0.34,3.28
"16-Feb-2019",0.36,4.29
"17-Feb-2019",0.28,0.01
"18-Feb-2019",0.45,0
"19-Feb-2019",1.78,0.2
"20-Feb-2019",1.52,0.09
"21-Feb-2019",1.11,0.07
"22-Feb-2019",0.55,0.11
"23-Feb-2019",0.11,0.01
"24-Feb-2019",0.37,0
"25-Feb-2019",0.45,0
"26-Feb-2019",0.18,0.26
"27-Feb-2019",0.13,2.94
"28-Feb-2019",0.57,2.77
"01-Mar-2019",0.29,0
"02-Mar-2019",0.44,0
"03-Mar-2019",0.16,2.65
"04-Mar-2019",0.12,0.92
"05-Mar-2019",0.57,0.17
"06-Mar-2019",0.52,0
"07-Mar-2019",0.3,0
"08-Mar-2019",0.13,0
"09-Mar-2019",0.18,0
"10-Mar-2019",0.25,0
"11-Mar-2019",0.7,0
"12-Mar-2019",0.56,0.04
"13-Mar-2019",0.37,0
"14-Mar-2019",0.1,0.01
"15-Mar-2019",0.16,0.24
"16-Mar-2019",0.29,0
"17-Mar-2019",0.12,0
"18-Mar-2019",0.08,0.38
"19-Mar-2019",0.15,0
"20-Mar-2019",0.34,0
"21-Mar-2019",0.14,0.11
"22-Mar-2019",0.53,0.01
"23-Mar-2019",0.52,0
"24-Mar-2019",0.34,0
"25-Mar-2019",0.52,0
"26-Mar-2019",0.79,0.69
"27-Mar-2019",0.31,0.06
"28-Mar-2019",0.32,0
"29-Mar-2019",0.18,0
"30-Mar-2019",0.45,0
"31-Mar-2019",0.43,0.07
"01-Apr-2019",0.22,0
"02-Apr-2019",0.08,0
"03-Apr-2019",0.18,0
"04-Apr-2019",0.36,0
"05-Apr-2019",0.03,0
"06-Apr-2019",0.18,0
"07-Apr-2019",0.2,1.3
"08-Apr-2019",0.04,0.05
"09-Apr-2019",0.15,0.14
"10-Apr-2019",0.18,0.11
"11-Apr-2019",0.17,0
"12-Apr-2019",0.19,0
"13-Apr-2019",0.14,0
"14-Apr-2019",0.07,0
"15-Apr-2019",0.15,0
"16-Apr-2019",0.18,0
"17-Apr-2019",0.23,0.83
"18-Apr-2019",0.29,3.16
"19-Apr-2019",0.45,0
"20-Apr-2019",0.42,0.01
"21-Apr-2019",0.18,0
"22-Apr-2019",0.14,0
"23-Apr-2019",0.26,0.07
"24-Apr-2019",0.19,0
"25-Apr-2019",0.19,0
"26-Apr-2019",0.13,0.05
"27-Apr-2019",0.22,0
"28-Apr-2019",0.14,0
"29-Apr-2019",0.15,0
"30-Apr-2019",0.17,0
"01-May-2019",0.43,0
"02-May-2019",0.53,0.11
"03-May-2019",0.46,0.22
"04-May-2019",0.4,0.56
"05-May-2019",0.16,0
"06-May-2019",0.3,0
"07-May-2019",0.31,0
"08-May-2019",0.39,0
"09-May-2019",0.46,0
"10-May-2019",0.27,0
"11-May-2019",0.6,0
"12-May-2019",0.79,0
"13-May-2019",1.13,0.06
"14-May-2019",0.54,0.15
"15-May-2019",0.77,0.01
"16-May-2019",0.57,0.33
"17-May-2019",0.29,0.09
"18-May-2019",0.42,0.29
"19-May-2019",0.44,0
"20-May-2019",0.56,0
"21-May-2019",0.8,0
"22-May-2019",0.38,0
"23-May-2019",0.32,0.18
"24-May-2019",0.27,0.11
"25-May-2019",0.34,0.07
"26-May-2019",0.42,0
"27-May-2019",0.58,0
"28-May-2019",0.78,0
"29-May-2019",0.76,0
"30-May-2019",0.86,0
"31-May-2019",0.46,0.13
"01-Jun-2019",0.88,0
"02-Jun-2019",1.38,0.02
"03-Jun-2019",1.45,0.93
"04-Jun-2019",1.33,0.01
"05-Jun-2019",2.15,0
"06-Jun-2019",1.99,0
"07-Jun-2019",1.82,3
"08-Jun-2019",1.26,0
"09-Jun-2019",1.68,0
"10-Jun-2019",2.01,0.05
"11-Jun-2019",1.72,0.19
"12-Jun-2019",1.42,0.87
"13-Jun-2019",1.96,1.56
"14-Jun-2019",2.25,0.27
"15-Jun-2019",2.26,0.01
"16-Jun-2019",3.29,0.01
"17-Jun-2019",2.94,0.54
"18-Jun-2019",2.65,1.94
"19-Jun-2019",2.48,0.45
"20-Jun-2019",2.23,1.55
"21-Jun-2019",2.1,0.26
"22-Jun-2019",2.89,3.71
"23-Jun-2019",4.74,9.19
"24-Jun-2019",5.01,7.73
"25-Jun-2019",4.4,5.68
"26-Jun-2019",5.68,2.33
"27-Jun-2019",5.42,2.17
"28-Jun-2019",7.15,0.43
"29-Jun-2019",7.17,0.21
"30-Jun-2019",7.3,1.91
"01-Jul-2019",7.59,0.76
"02-Jul-2019",7.2,1.16
"03-Jul-2019",6.19,5.23
"04-Jul-2019",6.42,2.27
"05-Jul-2019",7.66,3.25
"06-Jul-2019",7.65,23.64
"07-Jul-2019",9.59,9.61
"08-Jul-2019",10.95,15.14
"09-Jul-2019",9.34,23.6
"10-Jul-2019",10.84,36.6
"11-Jul-2019",11.02,42.67
"12-Jul-2019",10.28,20.87
"13-Jul-2019",8.6,14.43
"14-Jul-2019",10.4,12.47
"15-Jul-2019",11.51,5.27
"16-Jul-2019",10.41,13.14
"17-Jul-2019",10.45,4.2
"18-Jul-2019",9.84,1.56
"19-Jul-2019",11.29,0.89
"20-Jul-2019",10.72,1.57
"21-Jul-2019",10.32,2.21
"22-Jul-2019",10.14,4.1
"23-Jul-2019",8.93,1.39
"24-Jul-2019",8.39,14.07
"25-Jul-2019",9.09,19.06
"26-Jul-2019",10.06,14.22
"27-Jul-2019",9.87,11.61
"28-Jul-2019",9.64,8.28
"29-Jul-2019",11.02,3.08
"30-Jul-2019",9.15,0.2
"31-Jul-2019",8.36,0.41
"01-Aug-2019",10.61,0.95
"02-Aug-2019",11.56,2.66
"03-Aug-2019",8.18,5.26
"04-Aug-2019",9.41,4.93
"05-Aug-2019",9.65,4.7
"06-Aug-2019",10.04,11.65
"07-Aug-2019",9.34,14.14
"08-Aug-2019",10.5,2.83
"09-Aug-2019",10.05,2.08
"10-Aug-2019",10.27,2.22
"11-Aug-2019",10.54,1.3
"12-Aug-2019",13,3.18
"13-Aug-2019",12.31,4.92
"14-Aug-2019",11.81,8.78
"15-Aug-2019",9.33,6.2
"16-Aug-2019",9.2,3.7
"17-Aug-2019",9,4.61
"18-Aug-2019",10.44,6.06
"19-Aug-2019",10.7,9.7
"20-Aug-2019",8.29,8.2
"21-Aug-2019",8.07,14.86
"22-Aug-2019",9.1,15.48
"23-Aug-2019",10.56,5.3
"24-Aug-2019",8.73,8.36
"25-Aug-2019",7.81,8.38
"26-Aug-2019",8.87,8.14
"27-Aug-2019",8.73,2.51
"28-Aug-2019",7.66,0.69
"29-Aug-2019",7.54,1.7
"30-Aug-2019",6.61,3.39
"31-Aug-2019",7.11,1.45
"01-Sep-2019",8.23,8.26
"02-Sep-2019",9.01,1.29
"03-Sep-2019",7.75,1.29
"04-Sep-2019",6.11,5
"05-Sep-2019",5.17,1
"06-Sep-2019",6.32,0.96
"07-Sep-2019",6.64,3.02
"08-Sep-2019",6.2,4
"09-Sep-2019",7.57,1.44
"10-Sep-2019",7.35,1.12
"11-Sep-2019",8.29,2.07
"12-Sep-2019",8.52,5.78
"13-Sep-2019",8.86,12.79
"14-Sep-2019",9.65,8
"15-Sep-2019",10.06,5.39
"16-Sep-2019",7.24,3.59
"17-Sep-2019",5.38,8.69
"18-Sep-2019",4.56,12.55
"19-Sep-2019",4.29,15.36
"20-Sep-2019",3.72,1.93
"21-Sep-2019",3.05,0.88
"22-Sep-2019",3.63,9.24
"23-Sep-2019",4.03,9.37
"24-Sep-2019",4.67,8.09
"25-Sep-2019",5.05,3.31
"26-Sep-2019",4.2,9.41
