Daily rainfall(in mm) trends for Uttar pradesh from 01-Jan-2020 to 31-Dec-2023

Dates,NORMAL (mm) ,ACTUAL (mm) 
"01-Jan-2020",0.72,0.03
"02-Jan-2020",0.59,0.04
"03-Jan-2020",0.37,2.1
"04-Jan-2020",0.38,0.85
"05-Jan-2020",0.98,0.03
"06-Jan-2020",0.64,0
"07-Jan-2020",0.22,0.18
"08-Jan-2020",0.62,0.79
"09-Jan-2020",0.85,6.7
"10-Jan-2020",0.8,0
"11-Jan-2020",0.23,0
"12-Jan-2020",0.35,0
"13-Jan-2020",0.24,0
"14-Jan-2020",0.24,0.46
"15-Jan-2020",0.54,0.31
"16-Jan-2020",1.01,4.56
"17-Jan-2020",0.82,10.67
"18-Jan-2020",0.73,1.47
"19-Jan-2020",0.36,0.03
"20-Jan-2020",0.47,0
"21-Jan-2020",0.86,0
"22-Jan-2020",0.51,0
"23-Jan-2020",0.35,0.01
"24-Jan-2020",0.59,0
"25-Jan-2020",0.89,0
"26-Jan-2020",1.52,0
"27-Jan-2020",0.73,0
"28-Jan-2020",0.47,0.3
"29-Jan-2020",1.45,2.08
"30-Jan-2020",0.52,0.77
"31-Jan-2020",0.6,0
"01-Feb-2020",0.45,0
"02-Feb-2020",0.42,0
"03-Feb-2020",0.33,0
"04-Feb-2020",0.55,0
"05-Feb-2020",1.02,0
"06-Feb-2020",0.65,0
"07-Feb-2020",0.34,0
"08-Feb-2020",0.49,0
"09-Feb-2020",0.23,0
"10-Feb-2020",0.6,0
"11-Feb-2020",0.3,0
"12-Feb-2020",0.19,0
"13-Feb-2020",0.53,0
"14-Feb-2020",0.55,0
"15-Feb-2020",0.34,0
"16-Feb-2020",0.36,0
"17-Feb-2020",0.28,0
"18-Feb-2020",0.45,0
"19-Feb-2020",1.78,0
"20-Feb-2020",1.52,0
"21-Feb-2020",1.11,3.19
"22-Feb-2020",0.55,2.79
"23-Feb-2020",0.11,0.14
"24-Feb-2020",0.37,0.34
"25-Feb-2020",0.45,4.34
"26-Feb-2020",0.18,1.76
"27-Feb-2020",0.13,0.13
"28-Feb-2020",0.57,0
"29-Feb-2020",0,0
"01-Mar-2020",0.29,2.8
"02-Mar-2020",0.44,0.02
"03-Mar-2020",0.16,0
"04-Mar-2020",0.12,0.06
"05-Mar-2020",0.57,1.59
"06-Mar-2020",0.52,5.33
"07-Mar-2020",0.3,12.43
"08-Mar-2020",0.13,1.01
"09-Mar-2020",0.18,0
"10-Mar-2020",0.25,0.03
"11-Mar-2020",0.7,0.1
"12-Mar-2020",0.56,2.04
"13-Mar-2020",0.37,5.56
"14-Mar-2020",0.1,6.76
